lag,category,keyword,pearson_r,t_stat,p_value,n_months,p_adj_bh,significant
3,Credit_and_debt,bad_credit_score,0.8533,13.6934,0.0,72,0.0,True
3,Credit_and_debt,late_fee,0.8493,13.4611,0.0,72,0.0,True
3,Credit_and_debt,overdraft_fee,0.8466,13.3063,0.0,72,0.0,True
3,Credit_and_debt,credit_karma,0.8211,12.0376,0.0,72,0.0,True
3,Credit_and_debt,debt_collector,0.8095,11.5345,0.0,72,0.0,True
3,Credit_and_debt,chapter_13_bankruptcy,0.8085,11.4934,0.0,72,0.0,True
3,Credit_and_debt,chapter_7_bankruptcy,0.798,11.0774,0.0,72,0.0,True
3,Credit_and_debt,late_payment,0.7633,9.886,0.0,72,0.0,True
3,Credit_and_debt,credit_score,0.6705,7.5621,0.0,72,0.0,True
3,Credit_and_debt,improve_credit_score,0.6673,7.4964,0.0,72,0.0,True
3,Credit_and_debt,loan_default,0.6618,7.3861,0.0,72,0.0,True
3,Credit_and_debt,title_loan,0.639,6.9495,0.0,72,0.0,True
3,Credit_and_debt,bankruptcy,0.5977,6.2377,0.0,72,0.0,True
3,Credit_and_debt,debt_payoff_calculator,0.5953,6.1982,0.0,72,0.0,True
3,Credit_and_debt,student_loan_forgiveness,0.5799,5.9549,0.0,72,0.0,True
3,Credit_and_debt,credit_card_application,0.5792,5.9442,0.0,72,0.0,True
3,Credit_and_debt,debt_relief,0.554,5.5681,0.0,72,1e-06,True
3,Credit_and_debt,good_credit_score,0.5528,5.5496,0.0,72,1e-06,True
3,Credit_and_debt,installment_loan,0.5425,5.4026,1e-06,72,1e-06,True
3,Credit_and_debt,debt_settlement,0.4425,4.1286,9.9e-05,72,0.00015,True
3,Credit_and_debt,car_loan_refinance,0.4129,3.7928,0.000313,72,0.000463,True
3,Credit_and_debt,loan_calculator,0.3683,3.3139,0.001459,72,0.002034,True
3,Credit_and_debt,auto_loan,0.3549,3.1763,0.002219,72,0.003039,True
3,Credit_and_debt,payday_loan,0.3452,3.0773,0.002981,72,0.004037,True
3,Credit_and_debt,mortgage_refinance,0.3274,2.8989,0.004998,72,0.006599,True
3,Credit_and_debt,refinance_loan,0.2402,2.0706,0.042083,72,0.051447,False
3,Credit_and_debt,cash_advance,0.231,1.9868,0.050861,72,0.061549,False
3,Credit_and_debt,minimum_payment,0.1999,1.7073,0.092201,72,0.108551,False
3,Credit_and_debt,secured_loan,0.183,1.5571,0.123956,72,0.143813,False
3,Credit_and_debt,0_percent_APR,0.1415,1.1961,0.235675,72,0.26077,False
3,Credit_and_debt,credit_card_approval,-0.2691,-2.3381,0.022246,72,0.027619,True
3,Credit_and_debt,credit_card_interest,-0.4273,-3.9546,0.000181,72,0.00027,True
3,Credit_and_debt,student_loan,-0.4363,-4.0568,0.000128,72,0.000191,True
3,Credit_and_debt,collections,-0.5259,-5.1736,2e-06,72,4e-06,True
3,Credit_and_debt,balance_transfer,-0.5457,-5.4489,1e-06,72,1e-06,True
3,Credit_and_debt,credit_counseling,-0.598,-6.2426,0.0,72,0.0,True
3,Credit_and_debt,interest_rate,-0.6243,-6.6871,0.0,72,0.0,True
3,Credit_and_debt,APR,-0.6601,-7.3529,0.0,72,0.0,True
3,Credit_and_debt,fico_score,-0.6676,-7.5017,0.0,72,0.0,True
3,Credit_and_debt,HELOC,-0.7049,-8.3147,0.0,72,0.0,True
3,Credit_and_debt,unsecured_loan,-0.8109,-11.5929,0.0,72,0.0,True
3,Credit_and_debt,home_equity_line_of_credit,-0.8235,-12.1431,0.0,72,0.0,True
3,Credit_and_debt,credit_monitoring,-0.8312,-12.5095,0.0,72,0.0,True
3,Credit_and_debt,personal_loan,-0.833,-12.5945,0.0,72,0.0,True
3,Credit_and_debt,debt_consolidation,-0.8352,-12.7072,0.0,72,0.0,True
3,Credit_and_debt,home_equity_loan,-0.8817,-15.6364,0.0,72,0.0,True
3,Credit_and_debt,credit_report,-0.9264,-20.5798,0.0,72,0.0,True
3,Credit_and_debt,free_credit_report,-0.93,-21.1641,0.0,72,0.0,True
3,Credit_and_debt,credit_repair,-0.9329,-21.6681,0.0,72,0.0,True
3,Frugality,coupon_code,0.9217,19.8862,0.0,72,0.0,True
3,Frugality,discount_code,0.9213,19.8274,0.0,72,0.0,True
3,Frugality,discount_apps,0.8972,16.9934,0.0,72,0.0,True
3,Frugality,store_brands,0.8319,12.5409,0.0,72,0.0,True
3,Frugality,promo_code,0.8316,12.5297,0.0,72,0.0,True
3,Frugality,loyalty_program,0.8181,11.9006,0.0,72,0.0,True
3,Frugality,cancel_subscription,0.8102,11.5654,0.0,72,0.0,True
3,Frugality,pawn_shop,0.7876,10.6924,0.0,72,0.0,True
3,Frugality,yard_sale,0.7769,10.3243,0.0,72,0.0,True
3,Frugality,coupon_apps,0.775,10.2612,0.0,72,0.0,True
3,Frugality,library_books,0.7651,9.9406,0.0,72,0.0,True
3,Frugality,thrift_store,0.7649,9.9353,0.0,72,0.0,True
3,Frugality,expense_tracker,0.7264,8.8431,0.0,72,0.0,True
3,Frugality,garage_sale,0.6609,7.3675,0.0,72,0.0,True
3,Frugality,clothing_swap,0.6473,7.1059,0.0,72,0.0,True
3,Frugality,grocery_deals,0.6385,6.9409,0.0,72,0.0,True
3,Frugality,cut_expenses,0.6248,6.6948,0.0,72,0.0,True
3,Frugality,cashback,0.5739,5.863,0.0,72,0.0,True
3,Frugality,budget_planner,0.5636,5.7088,0.0,72,0.0,True
3,Frugality,reduce_bills,0.386,3.5006,0.000812,72,0.001156,True
3,Frugality,grocery_coupons,0.3854,3.4948,0.000827,72,0.001174,True
3,Frugality,cash_envelope_system,0.3573,3.201,0.00206,72,0.002838,True
3,Frugality,bike_to_work,0.2933,2.5664,0.012416,72,0.015742,True
3,Frugality,side_hustle,0.2737,2.3811,0.019987,72,0.024945,True
3,Frugality,budgeting_tips,0.2208,1.894,0.062358,72,0.074332,False
3,Frugality,bulk_shopping,0.1677,1.4232,0.159106,72,0.181944,False
3,Frugality,cell_phone_plan_savings,0.1543,1.3066,0.195627,72,0.220023,False
3,Frugality,electric_bill_savings,0.1066,0.8969,0.372821,72,0.395141,False
3,Frugality,generic_products,-0.0424,-0.3548,0.723838,72,0.739305,False
3,Frugality,money_saving_tips,-0.058,-0.4863,0.628249,72,0.648603,False
3,Frugality,second_hand,-0.1271,-1.0725,0.287173,72,0.313399,False
3,Frugality,water_bill_savings,-0.1319,-1.1134,0.269328,72,0.295951,False
3,Frugality,digital_library,-0.1654,-1.4033,0.16495,72,0.188177,False
3,Frugality,home_repair_DIY,-0.2538,-2.1956,0.031438,72,0.038731,True
3,Frugality,meal_planning,-0.2835,-2.473,0.015829,72,0.019964,True
3,Frugality,rebate,-0.3126,-2.7535,0.007506,72,0.009723,True
3,Frugality,energy_saving_tips,-0.3927,-3.5723,0.000645,72,0.000926,True
3,Frugality,free_stuff,-0.4799,-4.5766,2e-05,72,3.2e-05,True
3,Frugality,public_transit,-0.5619,-5.6829,0.0,72,1e-06,True
3,Frugality,ride_share,-0.5734,-5.8557,0.0,72,0.0,True
3,Frugality,free_samples,-0.601,-6.2905,0.0,72,0.0,True
3,Frugality,internet_savings,-0.66,-7.351,0.0,72,0.0,True
3,Frugality,price_comparison,-0.7266,-8.847,0.0,72,0.0,True
3,Frugality,used_car,-0.7525,-9.5603,0.0,72,0.0,True
3,Frugality,refurbished_electronics,-0.7886,-10.7281,0.0,72,0.0,True
3,Frugality,DIY_repair,-0.8525,-13.6425,0.0,72,0.0,True
3,Frugality,meal_prep,-0.8532,-13.6838,0.0,72,0.0,True
3,Government_support,disability_benefits,0.9632,29.975,0.0,72,0.0,True
3,Government_support,cash_assistance,0.9095,18.3047,0.0,72,0.0,True
3,Government_support,food_stamps,0.907,18.0156,0.0,72,0.0,True
3,Government_support,benefits_application,0.8999,17.2664,0.0,72,0.0,True
3,Government_support,SSI_benefits,0.8936,16.6528,0.0,72,0.0,True
3,Government_support,veterans_benefits,0.8913,16.4459,0.0,72,0.0,True
3,Government_support,child_care_assistance,0.8868,16.0526,0.0,72,0.0,True
3,Government_support,utility_assistance,0.88,15.5025,0.0,72,0.0,True
3,Government_support,VA_disability,0.8755,15.1604,0.0,72,0.0,True
3,Government_support,EBT_balance,0.8723,14.9281,0.0,72,0.0,True
3,Government_support,medicaid,0.8557,13.8331,0.0,72,0.0,True
3,Government_support,TANF_benefits,0.8537,13.7181,0.0,72,0.0,True
3,Government_support,pell_grant,0.8167,11.84,0.0,72,0.0,True
3,Government_support,section_8_housing,0.8116,11.6222,0.0,72,0.0,True
3,Government_support,file_for_unemployment,0.7804,10.4416,0.0,72,0.0,True
3,Government_support,GI_bill,0.7799,10.4258,0.0,72,0.0,True
3,Government_support,SSDI_application,0.7786,10.3795,0.0,72,0.0,True
3,Government_support,free_school_lunch,0.7312,8.9692,0.0,72,0.0,True
3,Government_support,unemployment_benefits,0.7289,8.9083,0.0,72,0.0,True
3,Government_support,housing_voucher,0.7231,8.7575,0.0,72,0.0,True
3,Government_support,LIHEAP,0.694,8.065,0.0,72,0.0,True
3,Government_support,social_security_benefits,0.6734,7.6206,0.0,72,0.0,True
3,Government_support,housing_assistance,0.6644,7.4385,0.0,72,0.0,True
3,Government_support,WIC_program,0.6531,7.2149,0.0,72,0.0,True
3,Government_support,unemployment_extension,0.6446,7.0538,0.0,72,0.0,True
3,Government_support,energy_assistance_program,0.644,7.0422,0.0,72,0.0,True
3,Government_support,where_is_my_refund,0.6105,6.4494,0.0,72,0.0,True
3,Government_support,rental_assistance_program,0.6009,6.2893,0.0,72,0.0,True
3,Government_support,student_loan_forgiveness,0.5799,5.9549,0.0,72,0.0,True
3,Government_support,premium_tax_credit,0.5627,5.6953,0.0,72,0.0,True
3,Government_support,SNAP_benefits,0.5481,5.4825,1e-06,72,1e-06,True
3,Government_support,reduced_lunch_program,0.5379,5.339,1e-06,72,2e-06,True
3,Government_support,earned_income_tax_credit,0.5205,5.0997,3e-06,72,5e-06,True
3,Government_support,head_start_program,0.4948,4.7638,1e-05,72,1.6e-05,True
3,Government_support,child_tax_credit,0.3602,3.2307,0.001883,72,0.002601,True
3,Government_support,tax_refund,0.337,2.9952,0.00379,72,0.005089,True
3,Government_support,medicare,0.3073,2.7019,0.008644,72,0.011107,True
3,Government_support,healthcare_subsidy,0.1705,1.4479,0.152113,72,0.175196,False
3,Government_support,disaster_relief,0.0491,0.4111,0.68225,72,0.701323,False
3,Government_support,FEMA_assistance,-0.0934,-0.785,0.43513,72,0.456123,False
3,Government_support,SBA_loan,-0.1583,-1.3413,0.184148,72,0.208092,False
3,Government_support,stimulus_payment_status,-0.1902,-1.6206,0.10959,72,0.128079,False
3,Government_support,stimulus_check,-0.2007,-1.7141,0.090927,72,0.107316,False
3,Government_support,public_housing,-0.2325,-2.0004,0.049336,72,0.059854,False
3,Government_support,government_grants,-0.2829,-2.4678,0.016042,72,0.02018,True
3,Government_support,FAFSA,-0.5554,-5.5883,0.0,72,1e-06,True
3,Government_support,small_business_grant,-0.5738,-5.8624,0.0,72,0.0,True
3,Housing_rent_and_stress,electric_bill_help,0.8978,17.0578,0.0,72,0.0,True
3,Housing_rent_and_stress,rent_assistance,0.8884,16.192,0.0,72,0.0,True
3,Housing_rent_and_stress,cheap_apartments,0.8581,13.9789,0.0,72,0.0,True
