lag,category,keyword,pearson_r,t_stat,p_value,n_months,p_adj_bh,significant
-1,Credit_and_debt,chapter_7_bankruptcy,0.906,17.9066,0.0,72,0.0,True
-1,Credit_and_debt,chapter_13_bankruptcy,0.9053,17.829,0.0,72,0.0,True
-1,Credit_and_debt,late_fee,0.845,13.2179,0.0,72,0.0,True
-1,Credit_and_debt,overdraft_fee,0.8436,13.1467,0.0,72,0.0,True
-1,Credit_and_debt,debt_collector,0.8283,12.3704,0.0,72,0.0,True
-1,Credit_and_debt,late_payment,0.8157,11.7958,0.0,72,0.0,True
-1,Credit_and_debt,bad_credit_score,0.8099,11.554,0.0,72,0.0,True
-1,Credit_and_debt,loan_default,0.7681,10.0351,0.0,72,0.0,True
-1,Credit_and_debt,bankruptcy,0.7553,9.6419,0.0,72,0.0,True
-1,Credit_and_debt,credit_karma,0.738,9.1504,0.0,72,0.0,True
-1,Credit_and_debt,debt_payoff_calculator,0.6793,7.7446,0.0,72,0.0,True
-1,Credit_and_debt,debt_relief,0.6484,7.1259,0.0,72,0.0,True
-1,Credit_and_debt,improve_credit_score,0.6406,6.9797,0.0,72,0.0,True
-1,Credit_and_debt,credit_score,0.6224,6.6529,0.0,72,0.0,True
-1,Credit_and_debt,debt_settlement,0.5974,6.2323,0.0,72,0.0,True
-1,Credit_and_debt,student_loan_forgiveness,0.5552,5.5846,0.0,72,1e-06,True
-1,Credit_and_debt,title_loan,0.5483,5.4848,1e-06,72,1e-06,True
-1,Credit_and_debt,car_loan_refinance,0.5322,5.2593,1e-06,72,3e-06,True
-1,Credit_and_debt,installment_loan,0.5218,5.1173,3e-06,72,4e-06,True
-1,Credit_and_debt,good_credit_score,0.494,4.7533,1e-05,72,1.7e-05,True
-1,Credit_and_debt,mortgage_refinance,0.4824,4.6078,1.8e-05,72,2.8e-05,True
-1,Credit_and_debt,credit_card_application,0.4597,4.3304,4.9e-05,72,7.4e-05,True
-1,Credit_and_debt,loan_calculator,0.4394,4.0921,0.000113,72,0.000166,True
-1,Credit_and_debt,refinance_loan,0.4042,3.6969,0.00043,72,0.000614,True
-1,Credit_and_debt,auto_loan,0.3845,3.4844,0.000855,72,0.001206,True
-1,Credit_and_debt,payday_loan,0.3635,3.2642,0.0017,72,0.002342,True
-1,Credit_and_debt,cash_advance,0.2655,2.3039,0.024202,72,0.030768,True
-1,Credit_and_debt,0_percent_APR,0.214,1.8325,0.071129,72,0.085426,False
-1,Credit_and_debt,minimum_payment,0.2107,1.8033,0.075649,72,0.090627,False
-1,Credit_and_debt,secured_loan,0.1951,1.6647,0.100452,72,0.116338,False
-1,Credit_and_debt,credit_card_interest,-0.3024,-2.6545,0.009824,72,0.012795,True
-1,Credit_and_debt,balance_transfer,-0.3765,-3.3998,0.001117,72,0.001566,True
-1,Credit_and_debt,student_loan,-0.391,-3.5544,0.000684,72,0.000973,True
-1,Credit_and_debt,collections,-0.4103,-3.7644,0.000344,72,0.000497,True
-1,Credit_and_debt,credit_card_approval,-0.4195,-3.8661,0.000245,72,0.000358,True
-1,Credit_and_debt,credit_counseling,-0.4584,-4.3148,5.1e-05,72,7.8e-05,True
-1,Credit_and_debt,interest_rate,-0.5191,-5.0812,3e-06,72,5e-06,True
-1,Credit_and_debt,fico_score,-0.5399,-5.3662,1e-06,72,2e-06,True
-1,Credit_and_debt,HELOC,-0.5557,-5.5923,0.0,72,1e-06,True
-1,Credit_and_debt,APR,-0.6442,-7.0474,0.0,72,0.0,True
-1,Credit_and_debt,debt_consolidation,-0.7453,-9.3539,0.0,72,0.0,True
-1,Credit_and_debt,credit_monitoring,-0.7909,-10.8135,0.0,72,0.0,True
-1,Credit_and_debt,home_equity_line_of_credit,-0.7992,-11.1231,0.0,72,0.0,True
-1,Credit_and_debt,unsecured_loan,-0.8049,-11.3471,0.0,72,0.0,True
-1,Credit_and_debt,personal_loan,-0.8229,-12.1177,0.0,72,0.0,True
-1,Credit_and_debt,credit_repair,-0.8962,-16.9031,0.0,72,0.0,True
