category,n_keywords,n_significant,pct_significant,avg_abs_r,avg_r,max_r,min_r
Travel,50.0,38.0,76.0,0.479,-0.4285,0.6111,-0.8808
Inflation,50.0,36.0,72.0,0.3653,-0.3272,0.5352,-0.7652
Credit_and_debt,50.0,32.0,64.0,0.3634,-0.1396,0.7144,-0.7285
Government_support,50.0,28.0,56.0,0.3489,0.0488,0.9193,-0.6358
Housing_rent_and_stress,50.0,29.0,58.0,0.3397,-0.14,0.7144,-0.7741
Luxuries,50.0,25.0,50.0,0.3161,-0.2232,0.5776,-0.6936
Jobs,49.0,29.0,59.2,0.3134,-0.1783,0.7315,-0.805
Investing_and_markets,50.0,26.0,52.0,0.3094,0.2467,0.7422,-0.3504
Insurance,50.0,29.0,58.0,0.309,-0.191,0.9672,-0.6162
Frugality,50.0,25.0,50.0,0.2972,-0.1827,0.7227,-0.7936
