category,n_keywords,n_significant,pct_significant,avg_abs_r,avg_r,max_r,min_r
Credit_and_debt,49.0,46.0,93.9,0.6091,0.0982,0.8856,-0.939
Government_support,47.0,39.0,83.0,0.6085,0.5312,0.955,-0.5578
Travel,48.0,41.0,85.4,0.6073,-0.0021,0.9238,-0.8984
Housing_rent_and_stress,50.0,44.0,88.0,0.5916,0.2536,0.9142,-0.9243
Luxuries,50.0,43.0,86.0,0.5763,-0.0919,0.8292,-0.9374
Inflation,49.0,36.0,73.5,0.5524,0.1333,0.9135,-0.9243
Frugality,47.0,36.0,76.6,0.5296,0.1897,0.9099,-0.8929
Insurance,49.0,40.0,81.6,0.526,0.0749,0.8749,-0.8241
Jobs,41.0,33.0,80.5,0.5258,0.1528,0.8848,-0.9225
Investing_and_markets,48.0,27.0,56.2,0.3869,-0.1484,0.7282,-0.8949
