category,keyword,pearson_r,p_value,n_months,p_adj_bh,significant
Credit_and_debt,mortgage_refinance,0.7144,0.0,72,0.0,True
Credit_and_debt,fico_score,0.6857,0.0,72,0.0,True
Credit_and_debt,refinance_loan,0.5856,0.0,72,0.0,True
Credit_and_debt,credit_repair,0.5139,0.0,72,1.5e-05,True
Credit_and_debt,credit_score,0.4969,0.0,72,3.2e-05,True
Credit_and_debt,improve_credit_score,0.4936,0.0,72,3.7e-05,True
Credit_and_debt,credit_report,0.4583,0.0001,72,0.000162,True
Credit_and_debt,loan_calculator,0.3306,0.0046,72,0.009613,True
Credit_and_debt,bankruptcy,0.3023,0.0099,72,0.019051,True
Credit_and_debt,free_credit_report,0.2443,0.0386,72,0.06181,False
Credit_and_debt,collections,0.2437,0.0391,72,0.062319,False
Credit_and_debt,good_credit_score,0.1513,0.2046,72,0.266511,False
Credit_and_debt,0_percent_APR,0.1421,0.2338,72,0.301496,False
Credit_and_debt,credit_karma,0.1056,0.3772,72,0.460213,False
Credit_and_debt,auto_loan,0.0638,0.5942,72,0.670043,False
Credit_and_debt,car_loan_refinance,0.0615,0.608,72,0.681786,False
Credit_and_debt,debt_collector,-0.0299,0.8031,72,0.847276,False
Credit_and_debt,bad_credit_score,-0.053,0.6584,72,0.722121,False
Credit_and_debt,credit_monitoring,-0.0754,0.5293,72,0.613029,False
Credit_and_debt,debt_settlement,-0.0922,0.4412,72,0.526742,False
Credit_and_debt,student_loan_forgiveness,-0.1774,0.136,72,0.186948,False
Credit_and_debt,prequalified_credit_card,-0.1869,0.116,72,0.163939,False
Credit_and_debt,secured_loan,-0.1886,0.1126,72,0.160087,False
Credit_and_debt,student_loan,-0.1907,0.1085,72,0.154908,False
Credit_and_debt,APR,-0.2042,0.0853,72,0.125629,False
Credit_and_debt,interest_rate,-0.2191,0.0644,72,0.095699,False
Credit_and_debt,debt_relief,-0.2382,0.0439,72,0.067803,False
Credit_and_debt,loan_default,-0.2756,0.0191,72,0.034089,True
Credit_and_debt,HELOC,-0.2845,0.0154,72,0.027875,True
Credit_and_debt,debt_payoff_calculator,-0.2887,0.0139,72,0.02575,True
Credit_and_debt,credit_card_interest,-0.3216,0.0059,72,0.011955,True
Credit_and_debt,chapter_7_bankruptcy,-0.3233,0.0056,72,0.011469,True
Credit_and_debt,credit_counseling,-0.3342,0.0041,72,0.008942,True
Credit_and_debt,credit_card_approval,-0.3628,0.0017,72,0.004086,True
Credit_and_debt,unsecured_loan,-0.3662,0.0016,72,0.003726,True
Credit_and_debt,chapter_13_bankruptcy,-0.3712,0.0013,72,0.00318,True
Credit_and_debt,minimum_payment,-0.3744,0.0012,72,0.002898,True
Credit_and_debt,balance_transfer,-0.3753,0.0012,72,0.002823,True
Credit_and_debt,debt_consolidation,-0.4406,0.0001,72,0.000308,True
Credit_and_debt,late_payment,-0.4668,0.0,72,0.000114,True
Credit_and_debt,personal_loan,-0.512,0.0,72,1.6e-05,True
Credit_and_debt,credit_card_application,-0.5201,0.0,72,1.1e-05,True
Credit_and_debt,home_equity_loan,-0.5715,0.0,72,1e-06,True
Credit_and_debt,title_loan,-0.5919,0.0,72,0.0,True
Credit_and_debt,home_equity_line_of_credit,-0.6551,0.0,72,0.0,True
Credit_and_debt,overdraft_fee,-0.6646,0.0,72,0.0,True
Credit_and_debt,late_fee,-0.6662,0.0,72,0.0,True
Credit_and_debt,payday_loan,-0.6961,0.0,72,0.0,True
Credit_and_debt,installment_loan,-0.7271,0.0,72,0.0,True
Credit_and_debt,cash_advance,-0.7285,0.0,72,0.0,True
Frugality,promo_code,0.7227,0.0,72,0.0,True
Frugality,coupon_code,0.6983,0.0,72,0.0,True
Frugality,discount_code,0.5122,0.0,72,1.6e-05,True
Frugality,DIY_repair,0.275,0.0194,72,0.034309,True
Frugality,home_repair_DIY,0.1927,0.1049,72,0.150801,False
Frugality,energy_saving_tips,0.1263,0.2905,72,0.363283,False
Frugality,minimalism_tips,0.1206,0.3851,54,0.468637,False
Frugality,price_comparison,0.0771,0.52,72,0.604859,False
Frugality,refurbished_electronics,0.068,0.5702,72,0.652576,False
Frugality,store_brands,0.0262,0.827,72,0.87065,False
Frugality,digital_library,0.0246,0.8376,72,0.874435,False
Frugality,bulk_shopping,0.0181,0.8799,72,0.908153,False
Frugality,free_stuff,-0.0002,0.9989,72,0.998944,False
Frugality,used_car,-0.0176,0.8835,72,0.908153,False
Frugality,discount_apps,-0.0475,0.6917,72,0.75038,False
Frugality,cancel_subscription,-0.0602,0.6152,72,0.685285,False
Frugality,sell_unused_items,-0.1242,0.6234,18,0.692843,False
Frugality,free_samples,-0.1359,0.2549,72,0.323659,False
Frugality,water_bill_savings,-0.1443,0.2265,72,0.293527,False
Frugality,grocery_coupons,-0.1588,0.1827,72,0.240596,False
Frugality,internet_savings,-0.1666,0.162,72,0.215544,False
Frugality,coupon_apps,-0.1788,0.133,72,0.184871,False
Frugality,cash_savings_challenge,-0.1814,0.1449,66,0.196438,False
Frugality,cell_phone_plan_savings,-0.1929,0.1046,72,0.150795,False
Frugality,reduce_bills,-0.1967,0.0977,72,0.142169,False
Frugality,money_saving_tips,-0.2308,0.0511,72,0.076992,False
Frugality,side_hustle,-0.2348,0.0471,72,0.071638,False
Frugality,generic_products,-0.2394,0.0428,72,0.066744,False
Frugality,budgeting_tips,-0.2408,0.0416,72,0.065524,False
Frugality,rebate,-0.2721,0.0208,72,0.036269,True
Frugality,cut_expenses,-0.275,0.0194,72,0.034309,True
Frugality,yard_sale,-0.282,0.0164,72,0.029426,True
Frugality,library_books,-0.2947,0.012,72,0.022481,True
Frugality,cashback,-0.2966,0.0114,72,0.021721,True
Frugality,bike_to_work,-0.3108,0.0079,72,0.015482,True
Frugality,cash_envelope_system,-0.3193,0.0063,72,0.012655,True
Frugality,meal_planning,-0.3214,0.0059,72,0.011983,True
Frugality,pawn_shop,-0.3369,0.0038,72,0.008337,True
Frugality,grocery_deals,-0.3371,0.0038,72,0.008327,True
Frugality,electric_bill_savings,-0.3375,0.0037,72,0.008261,True
Frugality,expense_tracker,-0.43,0.0002,72,0.00046,True
Frugality,thrift_store,-0.4431,0.0001,72,0.000281,True
Frugality,second_hand,-0.4773,0.0,72,7.4e-05,True
Frugality,budget_planner,-0.4859,0.0,72,5.1e-05,True
Frugality,loyalty_program,-0.6086,0.0,72,0.0,True
Frugality,garage_sale,-0.6467,0.0,72,0.0,True
Frugality,clothing_swap,-0.6664,0.0,72,0.0,True
Frugality,ride_share,-0.7504,0.0,72,0.0,True
Frugality,public_transit,-0.7608,0.0,72,0.0,True
Frugality,meal_prep,-0.7936,0.0,72,0.0,True
Government_support,unemployment_benefits,0.9193,0.0,72,0.0,True
Government_support,SBA_loan,0.8597,0.0,72,0.0,True
Government_support,file_for_unemployment,0.8449,0.0,72,0.0,True
Government_support,pandemic_relief_fund,0.8377,0.0,72,0.0,True
Government_support,stimulus_check,0.8009,0.0,72,0.0,True
Government_support,stimulus_payment_status,0.7712,0.0,72,0.0,True
Government_support,small_business_grant,0.7482,0.0,72,0.0,True
Government_support,benefits_application,0.6269,0.0,72,0.0,True
Government_support,disaster_relief,0.5685,0.0,72,1e-06,True
Government_support,unemployment_extension,0.5634,0.0,72,1e-06,True
Government_support,food_stamps,0.5374,0.0,72,5e-06,True
Government_support,SNAP_benefits,0.4339,0.0001,72,0.000397,True
Government_support,free_school_lunch,0.3456,0.0029,72,0.006713,True
Government_support,where_is_my_refund,0.3302,0.0046,72,0.009674,True
Government_support,reduced_lunch_program,0.257,0.0293,72,0.049433,True
Government_support,FEMA_assistance,0.1758,0.1397,72,0.190988,False
Government_support,rental_assistance_program,0.0816,0.4953,72,0.581594,False
Government_support,tax_refund,0.0651,0.5867,72,0.666938,False
Government_support,TANF_benefits,0.0609,0.6113,72,0.683966,False
Government_support,cash_assistance,0.0542,0.6509,72,0.716996,False
Government_support,child_tax_credit,0.0251,0.8342,72,0.874435,False
Government_support,government_grants,0.025,0.8349,72,0.874435,False
Government_support,food_pantry_near_me,0.0064,0.9576,72,0.965363,False
Government_support,earned_income_tax_credit,0.0033,0.9779,72,0.983811,False
Government_support,premium_tax_credit,-0.0098,0.9349,72,0.948216,False
Government_support,SSI_benefits,-0.0222,0.8532,72,0.888815,False
Government_support,ACA_marketplace,-0.0742,0.5358,72,0.617526,False
Government_support,LIHEAP,-0.0889,0.4576,72,0.543672,False
Government_support,EBT_balance,-0.112,0.3489,72,0.429936,False
Government_support,housing_assistance,-0.122,0.3072,72,0.383192,False
Government_support,WIC_program,-0.1305,0.2747,72,0.345295,False
Government_support,pell_grant,-0.1315,0.2709,72,0.341912,False
Government_support,healthcare_subsidy,-0.1603,0.1786,72,0.235823,False
Government_support,energy_assistance_program,-0.1774,0.1359,72,0.186948,False
Government_support,student_loan_forgiveness,-0.1774,0.136,72,0.186948,False
Government_support,FAFSA,-0.2346,0.0473,72,0.071776,False
Government_support,utility_assistance,-0.2399,0.0424,72,0.066463,False
Government_support,social_security_benefits,-0.2651,0.0244,72,0.042124,True
Government_support,disability_benefits,-0.3068,0.0088,72,0.017028,True
Government_support,SSDI_application,-0.3134,0.0074,72,0.014578,True
Government_support,housing_voucher,-0.3312,0.0045,72,0.009533,True
Government_support,medicare,-0.3415,0.0033,72,0.007474,True
Government_support,VA_disability,-0.3842,0.0009,72,0.002134,True
Government_support,GI_bill,-0.4547,0.0001,72,0.000184,True
Government_support,section_8_housing,-0.5318,0.0,72,6e-06,True
Government_support,head_start_program,-0.5371,0.0,72,5e-06,True
Government_support,medicaid,-0.5498,0.0,72,3e-06,True
Government_support,public_housing,-0.5817,0.0,72,0.0,True
Government_support,veterans_benefits,-0.5903,0.0,72,0.0,True
Government_support,child_care_assistance,-0.6358,0.0,72,0.0,True
Housing_rent_and_stress,refinance_mortgage,0.7144,0.0,72,0.0,True
Housing_rent_and_stress,first_time_home_buyer,0.5869,0.0,72,0.0,True
Housing_rent_and_stress,closing_costs,0.5835,0.0,72,0.0,True
Housing_rent_and_stress,pre_foreclosure,0.494,0.0,72,3.6e-05,True
Housing_rent_and_stress,mortgage_rates,0.3432,0.0032,72,0.007149,True
Housing_rent_and_stress,rent_assistance,0.3298,0.0047,72,0.009759,True
Housing_rent_and_stress,home_appraisal,0.3125,0.0075,72,0.014844,True
Housing_rent_and_stress,security_deposit,0.245,0.038,72,0.061212,False
Housing_rent_and_stress,mortgage_assistance,0.2351,0.0468,72,0.071615,False
Housing_rent_and_stress,studio_apartment,0.2298,0.0521,72,0.07837,False
Housing_rent_and_stress,missed_mortgage_payment,0.2038,0.086,72,0.126223,False
Housing_rent_and_stress,down_payment_assistance,0.1836,0.1226,72,0.171816,False
Housing_rent_and_stress,real_estate_listings,0.1438,0.2281,72,0.294865,False
Housing_rent_and_stress,foreclosure,0.1128,0.3454,72,0.426614,False
Housing_rent_and_stress,rental_assistance_program,0.0816,0.4953,72,0.581594,False
Housing_rent_and_stress,renters_insurance,0.0785,0.5121,72,0.597079,False
Housing_rent_and_stress,rent_relief,0.0602,0.6152,72,0.685285,False
