category,keyword,pearson_r,p_value,n_months,p_adj_bh,significant
Credit_and_debt,mortgage_refinance,0.7136,0.0,72,0.0,True
Credit_and_debt,fico_score,0.6887,0.0,72,0.0,True
Credit_and_debt,refinance_loan,0.583,0.0,72,0.0,True
Credit_and_debt,credit_repair,0.5236,0.0,72,9e-06,True
Credit_and_debt,improve_credit_score,0.5011,0.0,72,2.7e-05,True
Credit_and_debt,credit_score,0.4907,0.0,72,4.1e-05,True
Credit_and_debt,credit_report,0.4641,0.0,72,0.000125,True
Credit_and_debt,loan_calculator,0.3324,0.0043,72,0.009273,True
Credit_and_debt,bankruptcy,0.3056,0.009,72,0.017353,True
Credit_and_debt,free_credit_report,0.2561,0.0299,72,0.049407,True
Credit_and_debt,collections,0.2507,0.0336,72,0.054385,False
Credit_and_debt,good_credit_score,0.1406,0.2388,72,0.305552,False
Credit_and_debt,0_percent_APR,0.1342,0.2612,72,0.329994,False
Credit_and_debt,credit_karma,0.1207,0.3123,72,0.384838,False
Credit_and_debt,auto_loan,0.0606,0.6129,72,0.68274,False
Credit_and_debt,car_loan_refinance,0.0474,0.6923,72,0.757565,False
Credit_and_debt,debt_collector,-0.0416,0.7288,72,0.785645,False
Credit_and_debt,bad_credit_score,-0.0503,0.6749,72,0.743384,False
Credit_and_debt,credit_monitoring,-0.0742,0.5354,72,0.614174,False
Credit_and_debt,debt_settlement,-0.1012,0.3975,72,0.478005,False
Credit_and_debt,prequalified_credit_card,-0.1746,0.1425,72,0.193247,False
Credit_and_debt,student_loan_forgiveness,-0.1812,0.1276,72,0.175405,False
Credit_and_debt,student_loan,-0.1939,0.1027,72,0.145533,False
Credit_and_debt,secured_loan,-0.2001,0.092,72,0.133387,False
Credit_and_debt,APR,-0.2198,0.0636,72,0.094737,False
Credit_and_debt,interest_rate,-0.2316,0.0503,72,0.076104,False
Credit_and_debt,debt_relief,-0.2471,0.0364,72,0.057842,False
Credit_and_debt,loan_default,-0.2732,0.0202,72,0.035314,True
Credit_and_debt,debt_payoff_calculator,-0.2974,0.0112,72,0.020714,True
Credit_and_debt,HELOC,-0.298,0.011,72,0.020551,True
Credit_and_debt,chapter_7_bankruptcy,-0.3182,0.0065,72,0.012931,True
Credit_and_debt,credit_counseling,-0.3242,0.0055,72,0.011121,True
Credit_and_debt,credit_card_interest,-0.3332,0.0042,72,0.009118,True
Credit_and_debt,chapter_13_bankruptcy,-0.3636,0.0017,72,0.003981,True
Credit_and_debt,credit_card_approval,-0.3656,0.0016,72,0.00376,True
Credit_and_debt,unsecured_loan,-0.3719,0.0013,72,0.003112,True
Credit_and_debt,minimum_payment,-0.3856,0.0008,72,0.002014,True
Credit_and_debt,balance_transfer,-0.3864,0.0008,72,0.001966,True
Credit_and_debt,debt_consolidation,-0.4481,0.0001,72,0.000231,True
Credit_and_debt,late_payment,-0.478,0.0,72,7.1e-05,True
Credit_and_debt,credit_card_application,-0.5092,0.0,72,1.8e-05,True
Credit_and_debt,personal_loan,-0.5189,0.0,72,1.2e-05,True
Credit_and_debt,home_equity_loan,-0.5814,0.0,72,0.0,True
Credit_and_debt,title_loan,-0.5826,0.0,72,0.0,True
Credit_and_debt,home_equity_line_of_credit,-0.6556,0.0,72,0.0,True
Credit_and_debt,overdraft_fee,-0.6624,0.0,72,0.0,True
Credit_and_debt,late_fee,-0.6707,0.0,72,0.0,True
Credit_and_debt,payday_loan,-0.6869,0.0,72,0.0,True
Credit_and_debt,installment_loan,-0.7215,0.0,72,0.0,True
Credit_and_debt,cash_advance,-0.733,0.0,72,0.0,True
Frugality,promo_code,0.7313,0.0,72,0.0,True
Frugality,coupon_code,0.7061,0.0,72,0.0,True
Frugality,discount_code,0.5016,0.0,72,2.6e-05,True
Frugality,DIY_repair,0.2858,0.0149,72,0.02712,True
Frugality,home_repair_DIY,0.1997,0.0927,72,0.133639,False
Frugality,energy_saving_tips,0.1361,0.2542,72,0.32274,False
