keyword,intercept,slope,r_squared,p_value,std_error,n_obs
career_change,-0.008714519911536368,0.003583386135515713,0.004264471511444131,0.2932312965389138,0.003402382374400055,261
CareerBuilder,-0.0022850534697201924,-0.002674085234801146,0.007250696122167825,0.17020478279144763,0.0019442643252299255,261
work_flexibility,-0.007702708882379803,4.474243941469413e-05,0.00032411358318523947,0.772216154221067,0.00015440123465363764,261
career_advice,-0.006524986257392149,0.0006966296777693675,0.0004473039462611228,0.7337965523385946,0.002046225878552824,261
LinkedIn_Jobs,-0.00022398476178992193,-0.0018301106109601948,0.0019510914941650653,0.4773763899574854,0.0025719620207796685,261
apply_for_work,-0.009200113536519653,0.0005975607986539935,0.002069020031023513,0.464346677114435,0.0008154552290275443,261
Monster,-0.005328780295967188,-5.86043800474314e-05,1.0874185916761955e-06,0.9866233029871028,0.0034920590663342775,261
Fiverr_gigs,-0.004215319267329224,-2.9186642966654573e-05,0.00014088074713165282,0.8486501238956043,0.0001527839895821381,261
SimplyHired,-0.0039898179339519875,-0.0001648879731487759,0.0006278599973889187,0.6869992487233818,0.0004087627475843225,261
freelance,-0.005683516219445034,0.0013130577594364767,0.00034867427876836407,0.7639888449007955,0.004368660199091071,261
Glassdoor,0.005319954459392681,-0.004562598004734939,0.009503763726578535,0.11615020751342553,0.002894282532772344,261
job_training,3.0922670734437677e-06,-0.00638094054376367,0.01230436375258658,0.07361933816785368,0.0035523586209977587,261
ZipRecruiter,0.012812733458361904,-0.007151055276720441,0.021531698704440133,0.01768818718012826,0.002995397661354367,261
full_time_work,-0.005919734098271119,3.934619036484586e-05,2.9375677974715176e-05,0.9305585938789398,0.00045107886449229925,261
job_interview_tips,-0.0012437100474562198,-0.0038877254670920407,0.009138868419789175,0.12342854415891191,0.0025153932524677983,261
Fiverr,-0.009801985092872795,0.001292885933895233,0.002828908319261178,0.3921351885077131,0.0015082930569891861,261
TaskRabbit,-0.003062922797324889,-0.0003233482146533065,0.000795281970556428,0.6501884726575231,0.000712175870157322,261
Upwork_gigs,0.0010585026861047791,-3.128919941642261e-05,0.0015410189455040894,0.5277813283644869,4.9488659930942695e-05,261
Upwork,-0.006708477840860787,0.00023850761962619825,0.0006470179235774529,0.6825149054448005,0.0005824433305214436,261
telecommute,-0.0066781149582298555,0.0006666152217006699,0.000996614134986672,0.6116675828571663,0.0013114305700470778,261
extra_income,-0.00479744548181265,-3.312553854517029e-05,7.264683601839407e-05,0.8909992845761365,0.00024148432073992855,261
AngelList,-0.0020458316584342374,-0.0009008131368691087,0.0010694361535245733,0.5989398999164711,0.0017107047004736632,261
career_development,-0.0034616790020512147,-0.0016438057091370765,0.0013458389462577779,0.5551710981816304,0.0027823490657122893,261
side_hustle,-0.004947571922823124,-8.397962423604948e-05,1.8043535063024943e-05,0.9455502354192962,0.001228455171549008,261
Lyft_driver,0.01148551556986762,-0.007239924050647911,0.02661778451313992,0.00827036595089797,0.0027204445570983694,261
part_time_work,-0.010135540303481828,0.0029123022975426887,0.004290424009743978,0.29176404090867714,0.0027567844191832276,261
online_teaching,-0.006569650567773814,0.001160547846551088,0.000757383515947196,0.6580849587336962,0.002619333018878211,261
work_from_home,-0.0019045506855412298,-0.002325413637576907,0.0032904445804537354,0.3559915546416771,0.0025148225948849767,261
employment_benefits,-0.017000557259410642,0.01146385458996531,0.05496832951902805,0.00013186546980911476,0.0029535729283694705,261
remote_work,0.0005731783109072233,-0.002896630834933356,0.003456077941140162,0.34414057682624727,0.003056326350378099,261
consulting_work,-0.002070323105170696,-0.0016687799139362505,0.0019852947858741304,0.4735372517250737,0.002324904675998173,261
contract_work,-0.007784806395287581,0.0027032349979329434,0.0015664086841888308,0.5243980092974705,0.004240733395933199,261
Indeed,0.01328443560120068,-0.009011875384240272,0.022468058016526203,0.015363770498119048,0.003693584219138693,261
CV_template,-0.004837601281066775,-6.191757703909057e-05,3.081243557852006e-05,0.9288850561662897,0.000693097553529129,261
tutoring,-0.0013379670312325788,-0.001553535264863002,0.0027751898698015623,0.3966739942214465,0.0018298749869398064,261
