keyword,intercept,slope,r_squared,p_value,std_error,n_obs
free_credit_report,-0.003958363950785306,-0.0026246799090484255,0.003310888931960269,0.35543153885065093,0.002835136966704206,260
collections,-0.002695559225040782,-0.018385125384502495,0.027426193019048452,0.007450798929615597,0.006816089173183788,260
credit_monitoring,-0.0017792193598427965,-0.0003922935305667788,0.001811605518288163,0.4944110045043248,0.0005732918050444304,260
title_loan,0.0019797121882375486,-0.005524207072817879,0.00809328458906813,0.14802303329055233,0.0038074403302606414,260
refinance_loan,-0.022396126136581325,0.011952569268550957,0.07841909262953603,4.523888433820171e-06,0.0025509811190370124,260
mortgage_refinance,-0.03343753745663546,0.006828633578287691,0.1592698360023072,2.3277459110907933e-11,0.000976754688586455,260
payday_loan,0.001329804720910972,-0.004618036666072936,0.009245984528004944,0.12196343592469717,0.0029761434695774035,260
good_credit_score,4.606549876710279e-05,-0.0024921269296228157,0.0028980925769377195,0.38731842338599,0.00287788841834394,260
improve_credit_score,-0.004740645335114065,-1.7255315267671063e-05,3.180503911559762e-05,0.9278912404591529,0.00019048385517337862,260
credit_card_approval,0.0026228491217582008,-0.005018388099601213,0.009590122537083733,0.11520094817653607,0.0031750443422975992,260
student_loan,-0.011330983219023138,0.002207821630187672,0.008050959844353535,0.14909172713002566,0.0015257204992577809,260
credit_repair,-0.0017084768547760316,-0.007395451547348255,0.012564618566475665,0.07116687313002124,0.004081638435805307,260
credit_karma,0.0004906972948183156,-0.00276932893020426,0.003686904666831241,0.3294306220695495,0.002834207578110321,260
secured_loan,-0.00430338112452342,-9.268429066987643e-05,0.00017614244086690983,0.8313420497417887,0.00043473641554559237,260
bad_credit_score,0.0036415900299760894,-0.006631799404166075,0.01459159005639153,0.05171289265691688,0.0033929569606060525,260
credit_report,-0.003091757243610012,-0.004573365347078469,0.0070686974797209414,0.17652270120207234,0.0033745506196275563,260
chapter_7_bankruptcy,0.00125862413166615,-0.009548869040581429,0.02086887321586643,0.019786561981809007,0.004072049160453928,260
credit_card_interest,-0.00747858021965934,0.0029703055136637117,0.0020664855223415457,0.4654857518650238,0.0040637397679631595,260
home_equity_loan,-0.00752493562170761,0.002989229588408724,0.002904691001394418,0.3867777756901145,0.003448004201016334,260
bankruptcy,-0.003087863975550323,-0.005286719564708486,0.006475752218160577,0.19586604854258355,0.004076810686538709,260
cash_advance,0.005855982042767997,-0.008490547073969302,0.020302931256746322,0.021549042101949693,0.00367191275212279,260
HELOC,-0.01580295538237277,0.0061742148479881215,0.013676869099773604,0.05968508335265435,0.003264285596733696,260
late_fee,-0.0030810054346427575,-0.0004931219294678605,0.00080671163082486,0.6484873754843574,0.0010804633955107878,260
home_equity_line_of_credit,-0.005880566113856476,0.0012396204655588249,0.00055860029103482,0.7044537865790796,0.00326442709159593,260
personal_loan,-0.008424964559753854,0.0031636789419937504,0.0017666489035062683,0.4998215089736524,0.0046819143496099405,260
prequalified_credit_card,-0.0034002851417384216,-2.7353725738047366e-05,0.00022383893265182626,0.8102574518278509,0.00011381256484801054,260
car_loan_refinance,-0.005371174154559094,2.1824480335928096e-05,2.203181486018568e-05,0.9399592473530312,0.00028947038423538294,260
auto_loan,-0.005325798831918029,0.0005821660409902087,4.018515021616619e-05,0.9189752386729733,0.005717359371809845,260
minimum_payment,-0.0028938002677213184,-0.00030503668986112494,0.0008300891629541847,0.6437763617687009,0.0006588696883509245,260
credit_counseling,-0.0056760082973560805,-0.006799305177132308,0.012562052297532366,0.07119592891799821,0.003753006265418647,260
fico_score,-0.0013442063412866063,-0.003120575934206169,0.005635380516519253,0.22769240028910886,0.002580691613479209,260
interest_rate,-0.020788215473730186,0.012106573990807992,0.06350435889977961,3.950775261123522e-05,0.0028944264603279236,260
installment_loan,-0.004241862010684973,-4.489761063815431e-05,0.00014998459949745817,0.844195425984482,0.00022822198126237265,260
balance_transfer,-0.002266799345307949,-0.003141045255848276,0.0016671648255928522,0.5121587153336807,0.004785339437945315,260
late_payment,-0.003823614005585265,-0.0005266201716075878,0.00020073919417070254,0.8201385875036639,0.0023138113906575352,260
chapter_13_bankruptcy,-0.0010346021537964434,-0.005681106561017662,0.007475035341752377,0.16453349833774975,0.004075558927970472,260
debt_consolidation,-0.0019830948521376234,-0.0046801399257272265,0.008636190015288973,0.1350489723352841,0.0031217952863076067,260
debt_relief,-0.007008125433423065,0.0008846685126021578,0.0007689261891017609,0.6562791140391521,0.001985460978975064,260
credit_card_application,-0.001526575169851792,-0.003417891440759497,0.003931499849551713,0.3138608054734078,0.003386989754325008,260
debt_payoff_calculator,-0.006381928032985084,1.1424129648341992e-05,0.00020648591055198072,0.8176266555697356,4.949065664230478e-05,260
loan_calculator,-0.0023432078899665943,-0.00724969748505421,0.009327794624857088,0.12031713923114801,0.004651419757567209,260
student_loan_forgiveness,-0.008643221881511244,0.0007117190638784353,0.0017062250780218013,0.5072532108917879,0.0010717901634561362,260
0_percent_APR,-0.007387802838600519,2.116776400218269e-05,0.00036981987286824976,0.7576104682309475,6.851563534185988e-05,260
debt_settlement,-0.0015199962369195838,-0.00456787767943543,0.006662896830454112,0.18950749379899004,0.0034723332351280682,260
APR,-0.007063462751380074,0.0010037651903286912,0.0007513341106562168,0.6599851454842016,0.002278990490862549,260
debt_collector,-0.0038178207474429517,-0.00025703368679455644,0.0003603854066444533,0.7606270766828515,0.0008427879618125517,260
unsecured_loan,-0.0025069340790564946,-0.003049114000810033,0.003083164235182785,0.37254948370401814,0.00341346099481154,260
