keyword,intercept,slope,r_squared,p_value,std_error,n_obs
career_change,-0.010698826834296125,0.007840248101938478,0.019880949391697135,0.023505134861102603,0.003440572222913492,258
CareerBuilder,-0.010127392272101614,0.004368733510006798,0.019365490523422922,0.02539943619394189,0.0019430094210413065,258
work_flexibility,-0.008235174710072436,6.080498331376953e-05,0.0005988387542756949,0.6956380723681157,0.0001552509143785418,258
career_advice,-0.006703329582567122,0.0027150510919007054,0.0038873765175531016,0.3184838125210621,0.002716338832973566,258
LinkedIn_Jobs,-0.022362307511697217,0.0064409715588902225,0.023620345466385542,0.013461315175219465,0.002588198831365101,258
apply_for_work,-0.006196721787669409,0.00018230397253169461,0.00019254857548899125,0.8244594822400175,0.0008210397417198539,258
Monster,-0.008458753242875029,0.005792702283633978,0.010558522189327062,0.0995926072241607,0.0035047311892104703,258
Fiverr_gigs,-0.005436034105376096,1.0039201049127956e-05,1.6665119254022046e-05,0.9479723946980226,0.00015369910455260817,258
SimplyHired,-0.004131163264338267,-0.00010641105946726966,0.000261591942309016,0.7959861770036718,0.000411147630690147,258
freelance,-0.009459322913874534,0.015101022296762275,0.04377429092112592,0.0007201079468085343,0.004411202695942423,258
Glassdoor,-0.016475643255842966,0.00473472954173508,0.010190049012078409,0.10572929104725354,0.00291650660901834,258
job_training,-0.013005586018859639,0.010888791959722605,0.03544371910591232,0.0023934306612187076,0.0035502085148837216,258
ZipRecruiter,-0.02411844961386102,0.007392343115097277,0.02294329272134429,0.014882381812171212,0.003015047412492612,258
full_time_work,-0.004621343674821473,-2.933797235119898e-05,1.6341063037629307e-05,0.9484800146075518,0.000453593070416503,258
job_interview_tips,-0.011544597835215109,0.009663505690130775,0.0535164919555215,0.00017772105074980238,0.00253996323770322,258
Fiverr,-0.006429661967975645,0.00040005568419196775,0.00026940100845794653,0.7930312794049051,0.0015231488492042035,258
TaskRabbit,-0.008403215671859858,0.00046073766256606095,0.001614256234982699,0.5205635566033353,0.0007161379377009763,258
Upwork_gigs,0.003445848368902986,-4.0898945670914684e-05,0.002633372609103574,0.41175912229189704,4.9746598328580916e-05,258
Upwork,-0.005516928406597395,8.33214468317741e-05,7.895679507859725e-05,0.8870513720955149,0.0005860368404280189,258
telecommute,-0.006870466396037403,0.0011132065063269808,0.00275232892182197,0.40137895370572113,0.0013243631916973117,258
extra_income,-0.005151005794576129,6.602660916548779e-06,2.887993756491232e-06,0.9783288997628761,0.00024282883686839798,258
AngelList,-0.03511875717950163,0.008274409095939019,0.09004327342645675,9.103639704915479e-07,0.0016439997184874483,258
career_development,-0.0151482369295875,0.009626060284935744,0.04554857332521203,0.0005579904022761576,0.0027540265390919197,258
side_hustle,-0.006774381348685571,0.00035197831489480264,0.0003170585585379319,0.7759178949256895,0.00123525700494368,258
Lyft_driver,-0.012287432294573157,0.0030285889334500608,0.004648244234647053,0.2752492175207626,0.002769900522604426,258
part_time_work,-0.018314830125273844,0.008217036689715287,0.034128101141690605,0.0028956733720790313,0.0027321148152550274,258
online_teaching,-0.005183075048868419,0.00016277520009953434,1.4739861052500768e-05,0.9510658897135936,0.0026498321175429294,258
work_from_home,-0.00586741146896747,0.0005535222991536881,0.00018655184554685795,0.8271710259670607,0.0025326481012409793,258
employment_benefits,-0.004236236958183322,-0.0011654166757916293,0.0005394093887683499,0.7104212498340925,0.0031353413625280426,258
remote_work,0.0008218056744746455,-0.003098815121045288,0.0038533417492722447,0.3206157271031629,0.003113999661910951,258
consulting_work,-0.01090253782348672,0.003229293681280829,0.00733652234389166,0.17017542891686285,0.0023477046471530654,258
contract_work,-0.010336735367113777,0.006807931147112817,0.00967375188580657,0.1150324571367402,0.004305135697882387,258
Indeed,-0.021141478104221293,0.00756896294011826,0.015796862453005635,0.043694315359528293,0.003733991718596075,258
CV_template,-0.008897833145311599,0.0004883224443021742,0.0018452741249953039,0.4921124888943656,0.0007098313738541417,258
tutoring,-0.014458039221230446,0.0036164687584402102,0.014932963296581024,0.04991942742854803,0.001835796888729101,258
LinkedIn_profile,-0.01399943999979272,0.002510944081296928,0.008602100239303818,0.13735430274118185,0.0016847629612575627,258
resume_tips,-0.012014296379427278,0.005737831609614968,0.034310966280623675,0.0028199601223204487,0.0019025233310962985,258
We_Work_Remotely,-0.012131803225245201,0.0015098830561507631,0.005355827482761325,0.24145219408535376,0.0012860087110379283,258
skills_development,-0.009627375479591981,0.0020354053866578708,0.003841688692615538,0.3213499625259458,0.002048490874406814,258
Uber_driver,-0.011901555944737848,0.0028071516914993837,0.0034004894783420444,0.350870115046602,0.003003554494245437,258
DoorDash,-0.006197666330226117,0.0005477300025620516,6.187846832299745e-05,0.8999379874621835,0.004351743940128919,258
temporary_work,-0.005279422281136564,0.00037351512948566025,4.405766067607527e-05,0.9155037891575968,0.0035169640672520555,258
FlexJobs,-0.007528180889548047,0.00023868984911094027,0.0007940048099459711,0.6523507737538776,0.0005292122837087842,258
virtual_assistant,-0.005830514931787491,0.0002785076290751049,0.00014636700311985694,0.8466537756563822,0.0014386784476903356,258
Remote.co,-0.00595473667988211,3.919336381098772e-05,4.105855353481778e-05,0.9184200564214824,0.00038228021145166193,258
gig_economy,-0.005462530243159931,4.643746679611259e-05,3.532448053480917e-05,0.924312395910907,0.0004883182720407705,258
work_at_home,-0.005927464726496963,0.0016902161380645915,0.0012300503848246594,0.5749488734628165,0.0030101874744361827,258
Instacart,0.0026367399269781565,-0.0024874013556838615,0.009729586331376864,0.11398442402112066,0.0015683955375804,258
internship,-0.015197531273814515,0.005604882454291725,0.02967912136935964,0.005528590790843121,0.002002989601156231,258
