date,UNRATE,unrate_mom_change,unrate_yoy_change
2004-01-01,5.7,,
2004-02-01,5.6,-0.10000000000000053,
2004-03-01,5.8,0.20000000000000018,
2004-04-01,5.6,-0.20000000000000018,
2004-05-01,5.6,0.0,
2004-06-01,5.6,0.0,
2004-07-01,5.5,-0.09999999999999964,
2004-08-01,5.4,-0.09999999999999964,
2004-09-01,5.4,0.0,
2004-10-01,5.5,0.09999999999999964,
2004-11-01,5.4,-0.09999999999999964,
2004-12-01,5.4,0.0,
2005-01-01,5.3,-0.10000000000000053,-0.40000000000000036
2005-02-01,5.4,0.10000000000000053,-0.1999999999999993
2005-03-01,5.2,-0.20000000000000018,-0.5999999999999996
2005-04-01,5.2,0.0,-0.39999999999999947
2005-05-01,5.1,-0.10000000000000053,-0.5
2005-06-01,5.0,-0.09999999999999964,-0.5999999999999996
2005-07-01,5.0,0.0,-0.5
2005-08-01,4.9,-0.09999999999999964,-0.5
2005-09-01,5.0,0.09999999999999964,-0.40000000000000036
2005-10-01,5.0,0.0,-0.5
2005-11-01,5.0,0.0,-0.40000000000000036
2005-12-01,4.9,-0.09999999999999964,-0.5
2006-01-01,4.7,-0.20000000000000018,-0.5999999999999996
2006-02-01,4.8,0.09999999999999964,-0.6000000000000005
2006-03-01,4.7,-0.09999999999999964,-0.5
2006-04-01,4.7,0.0,-0.5
2006-05-01,4.6,-0.10000000000000053,-0.5
2006-06-01,4.6,0.0,-0.40000000000000036
2006-07-01,4.7,0.10000000000000053,-0.2999999999999998
2006-08-01,4.7,0.0,-0.20000000000000018
2006-09-01,4.5,-0.20000000000000018,-0.5
2006-10-01,4.4,-0.09999999999999964,-0.5999999999999996
2006-11-01,4.5,0.09999999999999964,-0.5
2006-12-01,4.4,-0.09999999999999964,-0.5
2007-01-01,4.6,0.1999999999999993,-0.10000000000000053
2007-02-01,4.5,-0.09999999999999964,-0.2999999999999998
2007-03-01,4.4,-0.09999999999999964,-0.2999999999999998
2007-04-01,4.5,0.09999999999999964,-0.20000000000000018
2007-05-01,4.4,-0.09999999999999964,-0.1999999999999993
2007-06-01,4.6,0.1999999999999993,0.0
2007-07-01,4.7,0.10000000000000053,0.0
2007-08-01,4.6,-0.10000000000000053,-0.10000000000000053
2007-09-01,4.7,0.10000000000000053,0.20000000000000018
2007-10-01,4.7,0.0,0.2999999999999998
2007-11-01,4.7,0.0,0.20000000000000018
2007-12-01,5.0,0.2999999999999998,0.5999999999999996
2008-01-01,5.0,0.0,0.40000000000000036
2008-02-01,4.9,-0.09999999999999964,0.40000000000000036
2008-03-01,5.1,0.1999999999999993,0.6999999999999993
2008-04-01,5.0,-0.09999999999999964,0.5
2008-05-01,5.4,0.40000000000000036,1.0
2008-06-01,5.6,0.1999999999999993,1.0
2008-07-01,5.8,0.20000000000000018,1.0999999999999996
2008-08-01,6.1,0.2999999999999998,1.5
2008-09-01,6.1,0.0,1.3999999999999995
2008-10-01,6.5,0.40000000000000036,1.7999999999999998
2008-11-01,6.8,0.2999999999999998,2.0999999999999996
2008-12-01,7.3,0.5,2.3
2009-01-01,7.8,0.5,2.8
2009-02-01,8.3,0.5000000000000009,3.4000000000000004
2009-03-01,8.7,0.3999999999999986,3.5999999999999996
2009-04-01,9.0,0.3000000000000007,4.0
2009-05-01,9.4,0.40000000000000036,4.0
2009-06-01,9.5,0.09999999999999964,3.9000000000000004
2009-07-01,9.5,0.0,3.7
2009-08-01,9.6,0.09999999999999964,3.5
2009-09-01,9.8,0.20000000000000107,3.700000000000001
2009-10-01,10.0,0.1999999999999993,3.5
2009-11-01,9.9,-0.09999999999999964,3.1000000000000005
2009-12-01,9.9,0.0,2.6000000000000005
2010-01-01,9.8,-0.09999999999999964,2.000000000000001
2010-02-01,9.8,0.0,1.5
2010-03-01,9.9,0.09999999999999964,1.200000000000001
2010-04-01,9.9,0.0,0.9000000000000004
2010-05-01,9.6,-0.3000000000000007,0.1999999999999993
2010-06-01,9.4,-0.1999999999999993,-0.09999999999999964
2010-07-01,9.4,0.0,-0.09999999999999964
2010-08-01,9.5,0.09999999999999964,-0.09999999999999964
2010-09-01,9.5,0.0,-0.3000000000000007
2010-10-01,9.4,-0.09999999999999964,-0.5999999999999996
2010-11-01,9.8,0.40000000000000036,-0.09999999999999964
2010-12-01,9.3,-0.5,-0.5999999999999996
2011-01-01,9.1,-0.20000000000000107,-0.7000000000000011
2011-02-01,9.0,-0.09999999999999964,-0.8000000000000007
2011-03-01,9.0,0.0,-0.9000000000000004
2011-04-01,9.1,0.09999999999999964,-0.8000000000000007
2011-05-01,9.0,-0.09999999999999964,-0.5999999999999996
2011-06-01,9.1,0.09999999999999964,-0.3000000000000007
2011-07-01,9.0,-0.09999999999999964,-0.40000000000000036
2011-08-01,9.0,0.0,-0.5
2011-09-01,9.0,0.0,-0.5
2011-10-01,8.8,-0.1999999999999993,-0.5999999999999996
2011-11-01,8.6,-0.20000000000000107,-1.200000000000001
2011-12-01,8.5,-0.09999999999999964,-0.8000000000000007
2012-01-01,8.3,-0.1999999999999993,-0.7999999999999989
2012-02-01,8.3,0.0,-0.6999999999999993
