date,collections
2004-01-01,93
2004-02-01,95
2004-03-01,93
2004-04-01,93
2004-05-01,90
2004-06-01,94
2004-07-01,98
2004-08-01,96
2004-09-01,95
2004-10-01,91
2004-11-01,93
2004-12-01,93
2005-01-01,93
2005-02-01,95
2005-03-01,91
2005-04-01,91
2005-05-01,88
2005-06-01,89
2005-07-01,100
2005-08-01,97
2005-09-01,89
2005-10-01,92
2005-11-01,93
2005-12-01,88
2006-01-01,88
2006-02-01,84
2006-03-01,84
2006-04-01,79
2006-05-01,83
2006-06-01,74
2006-07-01,86
2006-08-01,93
2006-09-01,85
2006-10-01,86
2006-11-01,84
2006-12-01,78
2007-01-01,89
2007-02-01,82
2007-03-01,83
2007-04-01,83
2007-05-01,82
2007-06-01,86
2007-07-01,92
2007-08-01,92
2007-09-01,89
2007-10-01,93
2007-11-01,98
2007-12-01,93
2008-01-01,90
2008-02-01,92
2008-03-01,89
2008-04-01,86
2008-05-01,88
2008-06-01,89
2008-07-01,87
2008-08-01,85
2008-09-01,81
2008-10-01,90
2008-11-01,95
2008-12-01,87
2009-01-01,88
2009-02-01,91
2009-03-01,92
2009-04-01,85
2009-05-01,82
2009-06-01,89
2009-07-01,88
2009-08-01,89
2009-09-01,82
2009-10-01,88
2009-11-01,85
2009-12-01,80
2010-01-01,88
2010-02-01,90
2010-03-01,84
2010-04-01,81
2010-05-01,78
2010-06-01,79
2010-07-01,72
2010-08-01,69
2010-09-01,73
2010-10-01,72
2010-11-01,73
2010-12-01,69
2011-01-01,79
2011-02-01,82
2011-03-01,81
2011-04-01,74
2011-05-01,69
2011-06-01,75
2011-07-01,76
2011-08-01,76
2011-09-01,78
2011-10-01,81
2011-11-01,77
2011-12-01,77
2012-01-01,81
2012-02-01,82
2012-03-01,74
2012-04-01,74
2012-05-01,72
2012-06-01,71
2012-07-01,72
2012-08-01,71
2012-09-01,70
2012-10-01,70
2012-11-01,73
2012-12-01,67
2013-01-01,73
2013-02-01,75
2013-03-01,70
2013-04-01,71
2013-05-01,63
2013-06-01,64
2013-07-01,69
2013-08-01,66
2013-09-01,65
2013-10-01,73
2013-11-01,74
2013-12-01,68
2014-01-01,74
2014-02-01,79
2014-03-01,74
2014-04-01,74
2014-05-01,69
2014-06-01,74
2014-07-01,75
2014-08-01,73
2014-09-01,70
2014-10-01,78
2014-11-01,73
2014-12-01,71
2015-01-01,75
2015-02-01,76
2015-03-01,76
2015-04-01,75
2015-05-01,67
2015-06-01,66
2015-07-01,83
2015-08-01,74
2015-09-01,71
2015-10-01,76
2015-11-01,74
2015-12-01,69
2016-01-01,71
2016-02-01,76
2016-03-01,70
2016-04-01,75
2016-05-01,64
2016-06-01,64
2016-07-01,62
2016-08-01,65
2016-09-01,69
2016-10-01,67
2016-11-01,66
2016-12-01,63
2017-01-01,74
2017-02-01,75
2017-03-01,77
2017-04-01,75
2017-05-01,75
2017-06-01,68
2017-07-01,68
2017-08-01,69
2017-09-01,66
2017-10-01,72
2017-11-01,73
2017-12-01,65
2018-01-01,71
2018-02-01,75
2018-03-01,70
2018-04-01,73
2018-05-01,68
2018-06-01,66
2018-07-01,67
2018-08-01,69
2018-09-01,66
2018-10-01,70
2018-11-01,71
2018-12-01,68
2019-01-01,72
2019-02-01,73
2019-03-01,72
2019-04-01,68
2019-05-01,67
2019-06-01,67
2019-07-01,64
2019-08-01,65
2019-09-01,67
2019-10-01,71
2019-11-01,66
2019-12-01,62
2020-01-01,72
2020-02-01,73
2020-03-01,62
2020-04-01,69
2020-05-01,72
2020-06-01,69
2020-07-01,70
2020-08-01,64
2020-09-01,68
2020-10-01,66
2020-11-01,65
2020-12-01,66
2021-01-01,70
2021-02-01,71
2021-03-01,79
2021-04-01,72
2021-05-01,65
2021-06-01,64
2021-07-01,61
2021-08-01,61
2021-09-01,65
2021-10-01,61
2021-11-01,65
2021-12-01,59
2022-01-01,68
2022-02-01,74
2022-03-01,77
2022-04-01,76
2022-05-01,62
2022-06-01,64
2022-07-01,62
2022-08-01,65
2022-09-01,61
2022-10-01,65
2022-11-01,63
2022-12-01,58
2023-01-01,64
2023-02-01,70
2023-03-01,70
2023-04-01,65
2023-05-01,62
2023-06-01,65
2023-07-01,63
2023-08-01,63
2023-09-01,63
2023-10-01,65
2023-11-01,66
2023-12-01,61
2024-01-01,68
2024-02-01,71
2024-03-01,65
2024-04-01,68
2024-05-01,63
2024-06-01,63
2024-07-01,64
2024-08-01,63
2024-09-01,63
2024-10-01,66
2024-11-01,67
2024-12-01,62
2025-01-01,71
2025-02-01,74
2025-03-01,72
2025-04-01,78
2025-05-01,69
2025-06-01,68
2025-07-01,75
2025-08-01,75
2025-09-01,72
2025-10-01,73
2025-11-01,75
2025-12-01,82
