date,title loan
2004-01-01,15
2004-02-01,13
2004-03-01,19
2004-04-01,18
2004-05-01,19
2004-06-01,26
2004-07-01,25
2004-08-01,21
2004-09-01,22
2004-10-01,15
2004-11-01,14
2004-12-01,23
2005-01-01,19
2005-02-01,16
2005-03-01,23
2005-04-01,21
2005-05-01,26
2005-06-01,25
2005-07-01,29
2005-08-01,31
2005-09-01,24
2005-10-01,23
2005-11-01,19
2005-12-01,20
2006-01-01,21
2006-02-01,18
2006-03-01,23
2006-04-01,22
2006-05-01,30
2006-06-01,29
2006-07-01,32
2006-08-01,28
2006-09-01,26
2006-10-01,24
2006-11-01,24
2006-12-01,24
2007-01-01,24
2007-02-01,23
2007-03-01,25
2007-04-01,25
2007-05-01,29
2007-06-01,33
2007-07-01,30
2007-08-01,29
2007-09-01,25
2007-10-01,26
2007-11-01,25
2007-12-01,29
2008-01-01,27
2008-02-01,23
2008-03-01,25
2008-04-01,29
2008-05-01,28
2008-06-01,30
2008-07-01,31
2008-08-01,31
2008-09-01,27
2008-10-01,26
2008-11-01,23
2008-12-01,25
2009-01-01,24
2009-02-01,26
2009-03-01,26
2009-04-01,28
2009-05-01,30
2009-06-01,35
2009-07-01,34
2009-08-01,31
2009-09-01,31
2009-10-01,29
2009-11-01,29
2009-12-01,30
2010-01-01,29
2010-02-01,26
2010-03-01,28
2010-04-01,31
2010-05-01,32
2010-06-01,33
2010-07-01,38
2010-08-01,39
2010-09-01,36
2010-10-01,34
2010-11-01,36
2010-12-01,37
2011-01-01,37
2011-02-01,38
2011-03-01,39
2011-04-01,45
2011-05-01,49
2011-06-01,53
2011-07-01,54
2011-08-01,55
2011-09-01,51
2011-10-01,50
2011-11-01,52
2011-12-01,54
2012-01-01,46
2012-02-01,41
2012-03-01,46
2012-04-01,52
2012-05-01,62
2012-06-01,61
2012-07-01,61
2012-08-01,64
2012-09-01,58
2012-10-01,52
2012-11-01,59
2012-12-01,55
2013-01-01,55
2013-02-01,47
2013-03-01,52
2013-04-01,60
2013-05-01,62
2013-06-01,65
2013-07-01,74
2013-08-01,70
2013-09-01,65
2013-10-01,60
2013-11-01,59
2013-12-01,72
2014-01-01,62
2014-02-01,57
2014-03-01,57
2014-04-01,69
2014-05-01,74
2014-06-01,75
2014-07-01,68
2014-08-01,70
2014-09-01,63
2014-10-01,58
2014-11-01,59
2014-12-01,61
2015-01-01,56
2015-02-01,55
2015-03-01,59
2015-04-01,65
2015-05-01,69
2015-06-01,74
2015-07-01,72
2015-08-01,76
2015-09-01,64
2015-10-01,63
2015-11-01,57
2015-12-01,66
2016-01-01,62
2016-02-01,58
2016-03-01,66
2016-04-01,77
2016-05-01,75
2016-06-01,85
2016-07-01,89
2016-08-01,87
2016-09-01,75
2016-10-01,70
2016-11-01,76
2016-12-01,86
2017-01-01,77
2017-02-01,66
2017-03-01,73
2017-04-01,83
2017-05-01,92
2017-06-01,98
2017-07-01,95
2017-08-01,92
2017-09-01,85
2017-10-01,86
2017-11-01,83
2017-12-01,79
2018-01-01,78
2018-02-01,72
2018-03-01,75
2018-04-01,82
2018-05-01,88
2018-06-01,94
2018-07-01,94
2018-08-01,95
2018-09-01,83
2018-10-01,85
2018-11-01,80
2018-12-01,87
2019-01-01,79
2019-02-01,72
2019-03-01,76
2019-04-01,86
2019-05-01,95
2019-06-01,97
2019-07-01,100
2019-08-01,97
2019-09-01,88
2019-10-01,81
2019-11-01,80
2019-12-01,89
2020-01-01,88
2020-02-01,83
2020-03-01,69
2020-04-01,49
2020-05-01,52
2020-06-01,65
2020-07-01,67
2020-08-01,70
2020-09-01,68
2020-10-01,74
2020-11-01,73
2020-12-01,78
2021-01-01,59
2021-02-01,55
2021-03-01,53
2021-04-01,57
2021-05-01,69
2021-06-01,71
2021-07-01,72
2021-08-01,70
2021-09-01,67
2021-10-01,66
2021-11-01,64
2021-12-01,65
2022-01-01,65
2022-02-01,73
2022-03-01,75
2022-04-01,78
2022-05-01,76
2022-06-01,83
2022-07-01,84
2022-08-01,84
2022-09-01,73
2022-10-01,68
2022-11-01,63
2022-12-01,64
2023-01-01,64
2023-02-01,59
2023-03-01,65
2023-04-01,67
2023-05-01,80
2023-06-01,76
2023-07-01,81
2023-08-01,69
2023-09-01,68
2023-10-01,68
2023-11-01,64
2023-12-01,61
2024-01-01,57
2024-02-01,53
2024-03-01,61
2024-04-01,69
2024-05-01,67
2024-06-01,68
2024-07-01,72
2024-08-01,73
2024-09-01,67
2024-10-01,65
2024-11-01,62
2024-12-01,66
2025-01-01,68
2025-02-01,66
2025-03-01,72
2025-04-01,78
2025-05-01,77
2025-06-01,77
2025-07-01,92
2025-08-01,85
2025-09-01,80
2025-10-01,83
2025-11-01,79
2025-12-01,90
