date,section 8 housing
2004-01-01,50
2004-02-01,46
2004-03-01,51
2004-04-01,56
2004-05-01,50
2004-06-01,54
2004-07-01,58
2004-08-01,55
2004-09-01,55
2004-10-01,53
2004-11-01,45
2004-12-01,41
2005-01-01,49
2005-02-01,46
2005-03-01,45
2005-04-01,44
2005-05-01,51
2005-06-01,47
2005-07-01,46
2005-08-01,49
2005-09-01,52
2005-10-01,45
2005-11-01,40
2005-12-01,37
2006-01-01,43
2006-02-01,39
2006-03-01,44
2006-04-01,44
2006-05-01,48
2006-06-01,50
2006-07-01,53
2006-08-01,57
2006-09-01,46
2006-10-01,47
2006-11-01,39
2006-12-01,39
2007-01-01,54
2007-02-01,49
2007-03-01,52
2007-04-01,55
2007-05-01,59
2007-06-01,56
2007-07-01,66
2007-08-01,61
2007-09-01,58
2007-10-01,55
2007-11-01,53
2007-12-01,45
2008-01-01,62
2008-02-01,55
2008-03-01,57
2008-04-01,63
2008-05-01,55
2008-06-01,61
2008-07-01,71
2008-08-01,69
2008-09-01,76
2008-10-01,75
2008-11-01,67
2008-12-01,63
2009-01-01,75
2009-02-01,75
2009-03-01,75
2009-04-01,73
2009-05-01,78
2009-06-01,90
2009-07-01,86
2009-08-01,81
2009-09-01,81
2009-10-01,76
2009-11-01,71
2009-12-01,65
2010-01-01,78
2010-02-01,78
2010-03-01,87
2010-04-01,78
2010-05-01,78
2010-06-01,87
2010-07-01,86
2010-08-01,81
2010-09-01,74
2010-10-01,62
2010-11-01,60
2010-12-01,56
2011-01-01,82
2011-02-01,63
2011-03-01,67
2011-04-01,64
2011-05-01,72
2011-06-01,91
2011-07-01,99
2011-08-01,100
2011-09-01,91
2011-10-01,78
2011-11-01,71
2011-12-01,71
2012-01-01,87
2012-02-01,79
2012-03-01,70
2012-04-01,72
2012-05-01,72
2012-06-01,86
2012-07-01,87
2012-08-01,76
2012-09-01,75
2012-10-01,67
2012-11-01,55
2012-12-01,56
2013-01-01,81
2013-02-01,75
2013-03-01,66
2013-04-01,72
2013-05-01,71
2013-06-01,81
2013-07-01,78
2013-08-01,76
2013-09-01,63
2013-10-01,57
2013-11-01,48
2013-12-01,51
2014-01-01,65
2014-02-01,56
2014-03-01,60
2014-04-01,68
2014-05-01,70
2014-06-01,75
2014-07-01,89
2014-08-01,73
2014-09-01,71
2014-10-01,66
2014-11-01,51
2014-12-01,46
2015-01-01,68
2015-02-01,64
2015-03-01,72
2015-04-01,69
2015-05-01,68
2015-06-01,79
2015-07-01,79
2015-08-01,79
2015-09-01,70
2015-10-01,63
2015-11-01,55
2015-12-01,50
2016-01-01,65
2016-02-01,64
2016-03-01,65
2016-04-01,69
2016-05-01,71
2016-06-01,75
2016-07-01,69
2016-08-01,71
2016-09-01,68
2016-10-01,60
2016-11-01,54
2016-12-01,50
2017-01-01,64
2017-02-01,64
2017-03-01,71
2017-04-01,74
2017-05-01,77
2017-06-01,78
2017-07-01,69
2017-08-01,70
2017-09-01,63
2017-10-01,64
2017-11-01,63
2017-12-01,61
2018-01-01,71
2018-02-01,60
2018-03-01,64
2018-04-01,62
2018-05-01,64
2018-06-01,65
2018-07-01,69
2018-08-01,66
2018-09-01,61
2018-10-01,59
2018-11-01,55
2018-12-01,52
2019-01-01,65
2019-02-01,58
2019-03-01,60
2019-04-01,69
2019-05-01,69
2019-06-01,71
2019-07-01,73
2019-08-01,70
2019-09-01,68
2019-10-01,66
2019-11-01,60
2019-12-01,60
2020-01-01,69
2020-02-01,60
2020-03-01,47
2020-04-01,47
2020-05-01,51
2020-06-01,61
2020-07-01,63
2020-08-01,60
2020-09-01,56
2020-10-01,63
2020-11-01,52
2020-12-01,51
2021-01-01,57
2021-02-01,60
2021-03-01,60
2021-04-01,64
2021-05-01,76
2021-06-01,75
2021-07-01,74
2021-08-01,75
2021-09-01,75
2021-10-01,73
2021-11-01,71
2021-12-01,68
2022-01-01,79
2022-02-01,88
2022-03-01,90
2022-04-01,87
2022-05-01,87
2022-06-01,93
2022-07-01,98
2022-08-01,99
2022-09-01,85
2022-10-01,90
2022-11-01,75
2022-12-01,74
2023-01-01,93
2023-02-01,84
2023-03-01,87
2023-04-01,84
2023-05-01,85
2023-06-01,89
2023-07-01,97
2023-08-01,97
2023-09-01,92
2023-10-01,95
2023-11-01,80
2023-12-01,74
2024-01-01,88
2024-02-01,78
2024-03-01,72
2024-04-01,78
2024-05-01,82
2024-06-01,89
2024-07-01,87
2024-08-01,86
2024-09-01,73
2024-10-01,70
2024-11-01,66
2024-12-01,65
2025-01-01,81
2025-02-01,74
2025-03-01,67
2025-04-01,70
2025-05-01,76
2025-06-01,71
2025-07-01,83
2025-08-01,76
2025-09-01,67
2025-10-01,67
2025-11-01,58
2025-12-01,64
