date,apartment for rent
2004-01-01,40
2004-02-01,35
2004-03-01,35
2004-04-01,41
2004-05-01,37
2004-06-01,40
2004-07-01,42
2004-08-01,35
2004-09-01,33
2004-10-01,31
2004-11-01,29
2004-12-01,27
2005-01-01,34
2005-02-01,36
2005-03-01,39
2005-04-01,39
2005-05-01,38
2005-06-01,40
2005-07-01,42
2005-08-01,42
2005-09-01,36
2005-10-01,34
2005-11-01,28
2005-12-01,32
2006-01-01,44
2006-02-01,36
2006-03-01,42
2006-04-01,42
2006-05-01,42
2006-06-01,45
2006-07-01,49
2006-08-01,45
2006-09-01,37
2006-10-01,36
2006-11-01,33
2006-12-01,27
2007-01-01,40
2007-02-01,38
2007-03-01,42
2007-04-01,45
2007-05-01,47
2007-06-01,49
2007-07-01,50
2007-08-01,45
2007-09-01,40
2007-10-01,40
2007-11-01,39
2007-12-01,38
2008-01-01,49
2008-02-01,45
2008-03-01,45
2008-04-01,46
2008-05-01,50
2008-06-01,49
2008-07-01,46
2008-08-01,47
2008-09-01,42
2008-10-01,40
2008-11-01,43
2008-12-01,41
2009-01-01,51
2009-02-01,50
2009-03-01,43
2009-04-01,48
2009-05-01,51
2009-06-01,51
2009-07-01,55
2009-08-01,53
2009-09-01,45
2009-10-01,46
2009-11-01,43
2009-12-01,45
2010-01-01,59
2010-02-01,56
2010-03-01,59
2010-04-01,55
2010-05-01,60
2010-06-01,56
2010-07-01,59
2010-08-01,53
2010-09-01,50
2010-10-01,46
2010-11-01,42
2010-12-01,40
2011-01-01,63
2011-02-01,59
2011-03-01,60
2011-04-01,58
2011-05-01,59
2011-06-01,61
2011-07-01,60
2011-08-01,57
2011-09-01,51
2011-10-01,48
2011-11-01,41
2011-12-01,43
2012-01-01,56
2012-02-01,56
2012-03-01,55
2012-04-01,58
2012-05-01,60
2012-06-01,59
2012-07-01,64
2012-08-01,60
2012-09-01,52
2012-10-01,47
2012-11-01,44
2012-12-01,42
2013-01-01,58
2013-02-01,56
2013-03-01,59
2013-04-01,62
2013-05-01,66
2013-06-01,70
2013-07-01,71
2013-08-01,70
2013-09-01,64
2013-10-01,58
2013-11-01,54
2013-12-01,52
2014-01-01,71
2014-02-01,65
2014-03-01,71
2014-04-01,72
2014-05-01,76
2014-06-01,75
2014-07-01,79
2014-08-01,73
2014-09-01,69
2014-10-01,63
2014-11-01,58
2014-12-01,57
2015-01-01,76
2015-02-01,71
2015-03-01,79
2015-04-01,78
2015-05-01,80
2015-06-01,83
2015-07-01,85
2015-08-01,81
2015-09-01,75
2015-10-01,68
2015-11-01,64
2015-12-01,63
2016-01-01,83
2016-02-01,83
2016-03-01,86
2016-04-01,89
2016-05-01,86
2016-06-01,89
2016-07-01,89
2016-08-01,82
2016-09-01,74
2016-10-01,69
2016-11-01,67
2016-12-01,65
2017-01-01,82
2017-02-01,83
2017-03-01,82
2017-04-01,82
2017-05-01,88
2017-06-01,85
2017-07-01,90
2017-08-01,87
2017-09-01,74
2017-10-01,75
2017-11-01,70
2017-12-01,63
2018-01-01,80
2018-02-01,82
2018-03-01,84
2018-04-01,83
2018-05-01,83
2018-06-01,85
2018-07-01,88
2018-08-01,87
2018-09-01,76
2018-10-01,74
2018-11-01,69
2018-12-01,67
2019-01-01,83
2019-02-01,79
2019-03-01,85
2019-04-01,84
2019-05-01,88
2019-06-01,90
2019-07-01,90
2019-08-01,87
2019-09-01,75
2019-10-01,72
2019-11-01,67
2019-12-01,70
2020-01-01,80
2020-02-01,79
2020-03-01,64
2020-04-01,67
2020-05-01,80
2020-06-01,89
2020-07-01,94
2020-08-01,83
2020-09-01,73
2020-10-01,76
2020-11-01,70
2020-12-01,65
2021-01-01,80
2021-02-01,83
2021-03-01,87
2021-04-01,90
2021-05-01,92
2021-06-01,94
2021-07-01,97
2021-08-01,96
2021-09-01,86
2021-10-01,83
2021-11-01,80
2021-12-01,73
2022-01-01,92
2022-02-01,96
2022-03-01,100
2022-04-01,95
2022-05-01,90
2022-06-01,91
2022-07-01,91
2022-08-01,89
2022-09-01,78
2022-10-01,74
2022-11-01,63
2022-12-01,64
2023-01-01,78
2023-02-01,82
2023-03-01,78
2023-04-01,80
2023-05-01,79
2023-06-01,83
2023-07-01,82
2023-08-01,75
2023-09-01,71
2023-10-01,67
2023-11-01,64
2023-12-01,62
2024-01-01,70
2024-02-01,68
2024-03-01,68
2024-04-01,70
2024-05-01,65
2024-06-01,66
2024-07-01,70
2024-08-01,66
2024-09-01,60
2024-10-01,59
2024-11-01,55
2024-12-01,55
2025-01-01,69
2025-02-01,72
2025-03-01,72
2025-04-01,71
2025-05-01,71
2025-06-01,75
2025-07-01,88
2025-08-01,86
2025-09-01,81
2025-10-01,69
2025-11-01,75
2025-12-01,79
