date,college tuition
2004-01-01,36
2004-02-01,40
2004-03-01,37
2004-04-01,34
2004-05-01,34
2004-06-01,28
2004-07-01,30
2004-08-01,33
2004-09-01,37
2004-10-01,38
2004-11-01,37
2004-12-01,31
2005-01-01,35
2005-02-01,35
2005-03-01,36
2005-04-01,37
2005-05-01,31
2005-06-01,28
2005-07-01,29
2005-08-01,30
2005-09-01,31
2005-10-01,30
2005-11-01,27
2005-12-01,26
2006-01-01,35
2006-02-01,30
2006-03-01,35
2006-04-01,36
2006-05-01,32
2006-06-01,24
2006-07-01,27
2006-08-01,33
2006-09-01,29
2006-10-01,32
2006-11-01,29
2006-12-01,28
2007-01-01,36
2007-02-01,35
2007-03-01,34
2007-04-01,36
2007-05-01,30
2007-06-01,29
2007-07-01,29
2007-08-01,32
2007-09-01,31
2007-10-01,35
2007-11-01,34
2007-12-01,30
2008-01-01,39
2008-02-01,35
2008-03-01,40
2008-04-01,40
2008-05-01,32
2008-06-01,27
2008-07-01,31
2008-08-01,33
2008-09-01,34
2008-10-01,38
2008-11-01,38
2008-12-01,34
2009-01-01,41
2009-02-01,49
2009-03-01,46
2009-04-01,45
2009-05-01,40
2009-06-01,35
2009-07-01,38
2009-08-01,42
2009-09-01,43
2009-10-01,40
2009-11-01,41
2009-12-01,40
2010-01-01,49
2010-02-01,47
2010-03-01,49
2010-04-01,49
2010-05-01,41
2010-06-01,38
2010-07-01,36
2010-08-01,42
2010-09-01,43
2010-10-01,36
2010-11-01,38
2010-12-01,34
2011-01-01,47
2011-02-01,45
2011-03-01,53
2011-04-01,55
2011-05-01,45
2011-06-01,40
2011-07-01,45
2011-08-01,50
2011-09-01,46
2011-10-01,45
2011-11-01,46
2011-12-01,43
2012-01-01,56
2012-02-01,54
2012-03-01,51
2012-04-01,58
2012-05-01,50
2012-06-01,42
2012-07-01,45
2012-08-01,51
2012-09-01,53
2012-10-01,49
2012-11-01,46
2012-12-01,42
2013-01-01,55
2013-02-01,54
2013-03-01,57
2013-04-01,59
2013-05-01,49
2013-06-01,44
2013-07-01,48
2013-08-01,55
2013-09-01,49
2013-10-01,53
2013-11-01,48
2013-12-01,47
2014-01-01,62
2014-02-01,58
2014-03-01,64
2014-04-01,66
2014-05-01,57
2014-06-01,52
2014-07-01,50
2014-08-01,56
2014-09-01,55
2014-10-01,58
2014-11-01,57
2014-12-01,54
2015-01-01,69
2015-02-01,65
2015-03-01,73
2015-04-01,79
2015-05-01,62
2015-06-01,50
2015-07-01,61
2015-08-01,75
2015-09-01,76
2015-10-01,73
2015-11-01,73
2015-12-01,68
2016-01-01,73
2016-02-01,79
2016-03-01,82
2016-04-01,85
2016-05-01,73
2016-06-01,59
2016-07-01,64
2016-08-01,70
2016-09-01,70
2016-10-01,70
2016-11-01,72
2016-12-01,62
2017-01-01,82
2017-02-01,78
2017-03-01,80
2017-04-01,100
2017-05-01,77
2017-06-01,62
2017-07-01,67
2017-08-01,73
2017-09-01,67
2017-10-01,74
2017-11-01,74
2017-12-01,68
2018-01-01,82
2018-02-01,76
2018-03-01,76
2018-04-01,83
2018-05-01,74
2018-06-01,57
2018-07-01,61
2018-08-01,72
2018-09-01,65
2018-10-01,69
2018-11-01,67
2018-12-01,65
2019-01-01,71
2019-02-01,71
2019-03-01,75
2019-04-01,78
2019-05-01,67
2019-06-01,51
2019-07-01,51
2019-08-01,63
2019-09-01,69
2019-10-01,62
2019-11-01,58
2019-12-01,54
2020-01-01,66
2020-02-01,64
2020-03-01,47
2020-04-01,49
2020-05-01,49
2020-06-01,43
2020-07-01,50
2020-08-01,52
2020-09-01,47
2020-10-01,43
2020-11-01,37
2020-12-01,41
2021-01-01,46
2021-02-01,47
2021-03-01,43
2021-04-01,46
2021-05-01,42
2021-06-01,36
2021-07-01,41
2021-08-01,48
2021-09-01,42
2021-10-01,40
2021-11-01,41
2021-12-01,39
2022-01-01,52
2022-02-01,56
2022-03-01,58
2022-04-01,69
2022-05-01,53
2022-06-01,40
2022-07-01,44
2022-08-01,62
2022-09-01,53
2022-10-01,52
2022-11-01,48
2022-12-01,47
2023-01-01,58
2023-02-01,61
2023-03-01,63
2023-04-01,61
2023-05-01,52
2023-06-01,45
2023-07-01,46
2023-08-01,54
2023-09-01,55
2023-10-01,54
2023-11-01,56
2023-12-01,54
2024-01-01,61
2024-02-01,62
2024-03-01,64
2024-04-01,68
2024-05-01,61
2024-06-01,42
2024-07-01,46
2024-08-01,59
2024-09-01,56
2024-10-01,59
2024-11-01,54
2024-12-01,54
2025-01-01,62
2025-02-01,59
2025-03-01,62
2025-04-01,67
2025-05-01,58
2025-06-01,44
2025-07-01,66
2025-08-01,70
2025-09-01,61
2025-10-01,64
2025-11-01,67
2025-12-01,69
