date,ZipRecruiter
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
2004-09-01,0
2004-10-01,0
2004-11-01,0
2004-12-01,0
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,0
2005-06-01,0
2005-07-01,0
2005-08-01,0
2005-09-01,0
2005-10-01,0
2005-11-01,0
2005-12-01,0
2006-01-01,0
2006-02-01,0
2006-03-01,0
2006-04-01,0
2006-05-01,0
2006-06-01,0
2006-07-01,0
2006-08-01,0
2006-09-01,0
2006-10-01,0
2006-11-01,0
2006-12-01,0
2007-01-01,0
2007-02-01,0
2007-03-01,0
2007-04-01,0
2007-05-01,0
2007-06-01,0
2007-07-01,0
2007-08-01,0
2007-09-01,0
2007-10-01,0
2007-11-01,0
2007-12-01,0
2008-01-01,0
2008-02-01,0
2008-03-01,0
2008-04-01,0
2008-05-01,0
2008-06-01,0
2008-07-01,0
2008-08-01,0
2008-09-01,0
2008-10-01,0
2008-11-01,0
2008-12-01,0
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,0
2009-06-01,0
2009-07-01,0
2009-08-01,0
2009-09-01,0
2009-10-01,0
2009-11-01,0
2009-12-01,0
2010-01-01,0
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,0
2010-10-01,0
2010-11-01,0
2010-12-01,0
2011-01-01,0
2011-02-01,1
2011-03-01,1
2011-04-01,1
2011-05-01,1
2011-06-01,1
2011-07-01,1
2011-08-01,1
2011-09-01,1
2011-10-01,1
2011-11-01,1
2011-12-01,1
2012-01-01,2
2012-02-01,3
2012-03-01,3
2012-04-01,4
2012-05-01,3
2012-06-01,4
2012-07-01,4
2012-08-01,4
2012-09-01,4
2012-10-01,4
2012-11-01,3
2012-12-01,3
2013-01-01,4
2013-02-01,4
2013-03-01,5
2013-04-01,6
2013-05-01,7
2013-06-01,7
2013-07-01,8
2013-08-01,9
2013-09-01,11
2013-10-01,10
2013-11-01,8
2013-12-01,8
2014-01-01,11
2014-02-01,14
2014-03-01,14
2014-04-01,17
2014-05-01,18
2014-06-01,20
2014-07-01,23
2014-08-01,26
2014-09-01,28
2014-10-01,27
2014-11-01,23
2014-12-01,22
2015-01-01,29
2015-02-01,29
2015-03-01,31
2015-04-01,32
2015-05-01,30
2015-06-01,37
2015-07-01,35
2015-08-01,34
2015-09-01,33
2015-10-01,35
2015-11-01,28
2015-12-01,25
2016-01-01,27
2016-02-01,27
2016-03-01,26
2016-04-01,31
2016-05-01,32
2016-06-01,36
2016-07-01,34
2016-08-01,37
2016-09-01,31
2016-10-01,38
2016-11-01,41
2016-12-01,36
2017-01-01,51
2017-02-01,42
2017-03-01,50
2017-04-01,65
2017-05-01,60
2017-06-01,57
2017-07-01,51
2017-08-01,63
2017-09-01,67
2017-10-01,84
2017-11-01,76
2017-12-01,62
2018-01-01,97
2018-02-01,90
2018-03-01,86
2018-04-01,91
2018-05-01,85
2018-06-01,91
2018-07-01,90
2018-08-01,91
2018-09-01,85
2018-10-01,82
2018-11-01,62
2018-12-01,54
2019-01-01,81
2019-02-01,77
2019-03-01,70
2019-04-01,74
2019-05-01,86
2019-06-01,89
2019-07-01,92
2019-08-01,100
2019-09-01,88
2019-10-01,90
2019-11-01,76
2019-12-01,65
2020-01-01,90
2020-02-01,87
2020-03-01,64
2020-04-01,46
2020-05-01,52
2020-06-01,59
2020-07-01,58
2020-08-01,52
2020-09-01,61
2020-10-01,59
2020-11-01,46
2020-12-01,44
2021-01-01,54
2021-02-01,55
2021-03-01,58
2021-04-01,61
2021-05-01,65
2021-06-01,72
2021-07-01,70
2021-08-01,69
2021-09-01,68
2021-10-01,62
2021-11-01,57
2021-12-01,58
2022-01-01,87
2022-02-01,85
2022-03-01,84
2022-04-01,76
2022-05-01,81
2022-06-01,82
2022-07-01,82
2022-08-01,78
2022-09-01,72
2022-10-01,69
2022-11-01,64
2022-12-01,58
2023-01-01,84
2023-02-01,81
2023-03-01,76
2023-04-01,73
2023-05-01,76
2023-06-01,80
2023-07-01,72
2023-08-01,78
2023-09-01,67
2023-10-01,70
2023-11-01,62
2023-12-01,53
2024-01-01,74
2024-02-01,65
2024-03-01,60
2024-04-01,66
2024-05-01,68
2024-06-01,66
2024-07-01,73
2024-08-01,76
2024-09-01,73
2024-10-01,68
2024-11-01,57
2024-12-01,52
2025-01-01,74
2025-02-01,80
2025-03-01,71
2025-04-01,70
2025-05-01,71
2025-06-01,78
2025-07-01,85
2025-08-01,84
2025-09-01,77
2025-10-01,72
2025-11-01,64
2025-12-01,62
