date,new boat
2004-01-01,55
2004-02-01,69
2004-03-01,56
2004-04-01,61
2004-05-01,76
2004-06-01,90
2004-07-01,95
2004-08-01,100
2004-09-01,67
2004-10-01,42
2004-11-01,35
2004-12-01,46
2005-01-01,62
2005-02-01,65
2005-03-01,50
2005-04-01,62
2005-05-01,64
2005-06-01,90
2005-07-01,91
2005-08-01,83
2005-09-01,59
2005-10-01,44
2005-11-01,31
2005-12-01,41
2006-01-01,49
2006-02-01,50
2006-03-01,40
2006-04-01,53
2006-05-01,61
2006-06-01,72
2006-07-01,82
2006-08-01,70
2006-09-01,42
2006-10-01,34
2006-11-01,27
2006-12-01,41
2007-01-01,48
2007-02-01,51
2007-03-01,41
2007-04-01,45
2007-05-01,64
2007-06-01,72
2007-07-01,84
2007-08-01,68
2007-09-01,50
2007-10-01,38
2007-11-01,30
2007-12-01,40
2008-01-01,50
2008-02-01,36
2008-03-01,44
2008-04-01,45
2008-05-01,59
2008-06-01,70
2008-07-01,73
2008-08-01,62
2008-09-01,35
2008-10-01,30
2008-11-01,27
2008-12-01,32
2009-01-01,33
2009-02-01,40
2009-03-01,40
2009-04-01,42
2009-05-01,53
2009-06-01,64
2009-07-01,68
2009-08-01,56
2009-09-01,40
2009-10-01,28
2009-11-01,28
2009-12-01,29
2010-01-01,39
2010-02-01,40
2010-03-01,36
2010-04-01,45
2010-05-01,50
2010-06-01,63
2010-07-01,66
2010-08-01,48
2010-09-01,33
2010-10-01,25
2010-11-01,23
2010-12-01,26
2011-01-01,35
2011-02-01,38
2011-03-01,37
2011-04-01,37
2011-05-01,46
2011-06-01,51
2011-07-01,53
2011-08-01,43
2011-09-01,32
2011-10-01,27
2011-11-01,22
2011-12-01,27
2012-01-01,32
2012-02-01,36
2012-03-01,32
2012-04-01,38
2012-05-01,43
2012-06-01,53
2012-07-01,54
2012-08-01,39
2012-09-01,34
2012-10-01,25
2012-11-01,23
2012-12-01,27
2013-01-01,29
2013-02-01,33
2013-03-01,31
2013-04-01,36
2013-05-01,40
2013-06-01,48
2013-07-01,54
2013-08-01,42
2013-09-01,32
2013-10-01,26
2013-11-01,23
2013-12-01,26
2014-01-01,29
2014-02-01,33
2014-03-01,31
2014-04-01,37
2014-05-01,41
2014-06-01,51
2014-07-01,53
2014-08-01,41
2014-09-01,31
2014-10-01,25
2014-11-01,23
2014-12-01,28
2015-01-01,31
2015-02-01,37
2015-03-01,35
2015-04-01,35
2015-05-01,44
2015-06-01,51
2015-07-01,56
2015-08-01,46
2015-09-01,38
2015-10-01,29
2015-11-01,27
2015-12-01,29
2016-01-01,31
2016-02-01,38
2016-03-01,35
2016-04-01,42
2016-05-01,49
2016-06-01,57
2016-07-01,65
2016-08-01,46
2016-09-01,36
2016-10-01,29
2016-11-01,27
2016-12-01,29
2017-01-01,33
2017-02-01,38
2017-03-01,38
2017-04-01,42
2017-05-01,48
2017-06-01,57
2017-07-01,65
2017-08-01,48
2017-09-01,32
2017-10-01,28
2017-11-01,24
2017-12-01,30
2018-01-01,31
2018-02-01,36
2018-03-01,36
2018-04-01,40
2018-05-01,50
2018-06-01,55
2018-07-01,66
2018-08-01,50
2018-09-01,37
2018-10-01,27
2018-11-01,25
2018-12-01,29
2019-01-01,31
2019-02-01,35
2019-03-01,35
2019-04-01,37
2019-05-01,46
2019-06-01,55
2019-07-01,58
2019-08-01,48
2019-09-01,38
2019-10-01,26
2019-11-01,25
2019-12-01,26
2020-01-01,34
2020-02-01,35
2020-03-01,25
2020-04-01,44
2020-05-01,57
2020-06-01,67
2020-07-01,73
2020-08-01,56
2020-09-01,43
2020-10-01,28
2020-11-01,23
2020-12-01,26
2021-01-01,26
2021-02-01,32
2021-03-01,41
2021-04-01,49
2021-05-01,58
2021-06-01,66
2021-07-01,65
2021-08-01,52
2021-09-01,36
2021-10-01,27
2021-11-01,25
2021-12-01,28
2022-01-01,35
2022-02-01,43
2022-03-01,42
2022-04-01,47
2022-05-01,54
2022-06-01,64
2022-07-01,70
2022-08-01,60
2022-09-01,48
2022-10-01,39
2022-11-01,29
2022-12-01,31
2023-01-01,34
2023-02-01,40
2023-03-01,39
2023-04-01,43
2023-05-01,50
2023-06-01,59
2023-07-01,65
2023-08-01,52
2023-09-01,42
2023-10-01,34
2023-11-01,28
2023-12-01,36
2024-01-01,40
2024-02-01,39
2024-03-01,39
2024-04-01,40
2024-05-01,49
2024-06-01,75
2024-07-01,65
2024-08-01,52
2024-09-01,38
2024-10-01,34
2024-11-01,28
2024-12-01,32
2025-01-01,34
2025-02-01,36
2025-03-01,43
2025-04-01,43
2025-05-01,57
2025-06-01,73
2025-07-01,90
2025-08-01,67
2025-09-01,52
2025-10-01,46
2025-11-01,54
2025-12-01,65
