date,vacation rentals
2004-01-01,85
2004-02-01,71
2004-03-01,69
2004-04-01,61
2004-05-01,73
2004-06-01,74
2004-07-01,81
2004-08-01,63
2004-09-01,48
2004-10-01,44
2004-11-01,45
2004-12-01,44
2005-01-01,77
2005-02-01,68
2005-03-01,68
2005-04-01,55
2005-05-01,60
2005-06-01,72
2005-07-01,72
2005-08-01,57
2005-09-01,44
2005-10-01,38
2005-11-01,37
2005-12-01,38
2006-01-01,76
2006-02-01,68
2006-03-01,72
2006-04-01,62
2006-05-01,62
2006-06-01,74
2006-07-01,79
2006-08-01,62
2006-09-01,43
2006-10-01,42
2006-11-01,38
2006-12-01,39
2007-01-01,82
2007-02-01,69
2007-03-01,73
2007-04-01,66
2007-05-01,72
2007-06-01,81
2007-07-01,88
2007-08-01,65
2007-09-01,49
2007-10-01,45
2007-11-01,41
2007-12-01,40
2008-01-01,81
2008-02-01,72
2008-03-01,74
2008-04-01,64
2008-05-01,66
2008-06-01,75
2008-07-01,79
2008-08-01,59
2008-09-01,44
2008-10-01,38
2008-11-01,37
2008-12-01,39
2009-01-01,79
2009-02-01,70
2009-03-01,72
2009-04-01,65
2009-05-01,82
2009-06-01,94
2009-07-01,96
2009-08-01,73
2009-09-01,47
2009-10-01,43
2009-11-01,42
2009-12-01,45
2010-01-01,84
2010-02-01,77
2010-03-01,82
2010-04-01,76
2010-05-01,82
2010-06-01,100
2010-07-01,81
2010-08-01,61
2010-09-01,41
2010-10-01,37
2010-11-01,36
2010-12-01,36
2011-01-01,81
2011-02-01,77
2011-03-01,77
2011-04-01,69
2011-05-01,72
2011-06-01,95
2011-07-01,92
2011-08-01,67
2011-09-01,48
2011-10-01,39
2011-11-01,35
2011-12-01,39
2012-01-01,72
2012-02-01,69
2012-03-01,66
2012-04-01,64
2012-05-01,70
2012-06-01,76
2012-07-01,75
2012-08-01,57
2012-09-01,42
2012-10-01,34
2012-11-01,33
2012-12-01,34
2013-01-01,68
2013-02-01,60
2013-03-01,62
2013-04-01,59
2013-05-01,60
2013-06-01,73
2013-07-01,75
2013-08-01,52
2013-09-01,37
2013-10-01,33
2013-11-01,35
2013-12-01,35
2014-01-01,67
2014-02-01,63
2014-03-01,63
2014-04-01,54
2014-05-01,62
2014-06-01,72
2014-07-01,72
2014-08-01,51
2014-09-01,40
2014-10-01,31
2014-11-01,31
2014-12-01,35
2015-01-01,61
2015-02-01,55
2015-03-01,58
2015-04-01,52
2015-05-01,53
2015-06-01,65
2015-07-01,65
2015-08-01,47
2015-09-01,35
2015-10-01,29
2015-11-01,27
2015-12-01,29
2016-01-01,53
2016-02-01,51
2016-03-01,51
2016-04-01,48
2016-05-01,51
2016-06-01,58
2016-07-01,60
2016-08-01,43
2016-09-01,33
2016-10-01,27
2016-11-01,25
2016-12-01,28
2017-01-01,47
2017-02-01,47
2017-03-01,47
2017-04-01,45
2017-05-01,45
2017-06-01,57
2017-07-01,59
2017-08-01,42
2017-09-01,30
2017-10-01,30
2017-11-01,25
2017-12-01,26
2018-01-01,49
2018-02-01,45
2018-03-01,44
2018-04-01,39
2018-05-01,41
2018-06-01,48
2018-07-01,48
2018-08-01,36
2018-09-01,26
2018-10-01,23
2018-11-01,21
2018-12-01,23
2019-01-01,39
2019-02-01,38
2019-03-01,39
2019-04-01,34
2019-05-01,40
2019-06-01,44
2019-07-01,44
2019-08-01,32
2019-09-01,28
2019-10-01,24
2019-11-01,21
2019-12-01,27
2020-01-01,41
2020-02-01,35
2020-03-01,24
2020-04-01,20
2020-05-01,53
2020-06-01,72
2020-07-01,61
2020-08-01,48
2020-09-01,36
2020-10-01,30
2020-11-01,23
2020-12-01,26
2021-01-01,39
2021-02-01,44
2021-03-01,55
2021-04-01,54
2021-05-01,65
2021-06-01,69
2021-07-01,62
2021-08-01,49
2021-09-01,49
2021-10-01,45
2021-11-01,42
2021-12-01,36
2022-01-01,47
2022-02-01,46
2022-03-01,43
2022-04-01,38
2022-05-01,36
2022-06-01,44
2022-07-01,40
2022-08-01,37
2022-09-01,27
2022-10-01,24
2022-11-01,21
2022-12-01,22
2023-01-01,33
2023-02-01,32
2023-03-01,29
2023-04-01,27
2023-05-01,28
2023-06-01,33
2023-07-01,34
2023-08-01,26
2023-09-01,21
2023-10-01,18
2023-11-01,17
2023-12-01,19
2024-01-01,26
2024-02-01,26
2024-03-01,27
2024-04-01,24
2024-05-01,26
2024-06-01,30
2024-07-01,29
2024-08-01,25
2024-09-01,21
2024-10-01,20
2024-11-01,17
2024-12-01,19
2025-01-01,24
2025-02-01,25
2025-03-01,24
2025-04-01,22
2025-05-01,23
2025-06-01,33
2025-07-01,32
2025-08-01,25
2025-09-01,22
2025-10-01,18
2025-11-01,15
2025-12-01,16
